#              step               time            E_total                m_x                m_y                m_z             E_exch            E_demag          zeeman_Hx          zeeman_Hy          zeeman_Hz           E_zeeman 
#                <>                <s>                <J>                 <>                 <>                 <>                  J                  J              <A/m>              <A/m>              <A/m>                  J 
                27 2.700000000000e-10 1.666244156775e-18 -6.562608103940e-01 -1.969474118503e-01 5.556994050135e-02 1.542059420602e-18 2.418756045884e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.294571309710e-18 
                28 2.800000000000e-10 1.591680798184e-18 -6.629957509671e-01 -1.071314749835e-01 6.221197613983e-02 1.578406860839e-18 2.390628457049e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.377354519704e-18 
                29 2.900000000000e-10 1.518353527803e-18 -6.864879309265e-01 -4.629339549490e-02 6.606672931712e-02 1.464567110291e-18 2.557067642537e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.503281225025e-18 
                30 3.000000000000e-10 1.434500556586e-18 -7.427272802486e-01 -9.103310721341e-03 6.934728894435e-02 1.320417373840e-18 2.848875211448e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.734792028702e-18 
                31 3.100000000000e-10 1.318959720987e-18 -8.294747682088e-01 2.411053871844e-02 7.301893198382e-02 9.482305014382e-19 3.447042411713e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.076313192164e-18 
                32 3.200000000000e-10 1.155733399349e-18 -9.131710131994e-01 8.745577098600e-02 7.649514818363e-02 6.514266049990e-19 3.930316805342e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.426010010992e-18 
                33 3.300000000000e-10 9.598753653877e-19 -9.329630160387e-01 1.841795418593e-01 7.389641284528e-02 5.340159040733e-19 3.987288794996e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.561429333682e-18 
                34 3.400000000000e-10 7.793715250380e-19 -8.654800254449e-01 2.598105129363e-01 6.331123750738e-02 7.998160304450e-19 3.340754569328e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.361199074735e-18 
                35 3.500000000000e-10 6.522338089604e-19 -7.713552554488e-01 2.892997225535e-01 4.954873476942e-02 1.037383363933e-18 2.647749658681e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.032899213653e-18 
                36 3.600000000000e-10 5.719041121064e-19 -7.035123560704e-01 2.996761653498e-01 3.581888896054e-02 1.102091555237e-18 2.259064277420e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.789251720550e-18 
                37 3.700000000000e-10 5.155145575769e-19 -6.771075965523e-01 3.153698393026e-01 2.214734341286e-02 1.131051936972e-18 2.086403198233e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.701940577628e-18 
                38 3.800000000000e-10 4.624501618140e-19 -6.857301405977e-01 3.464470228174e-01 7.111864391765e-03 1.082196993416e-18 2.134055716921e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.753802548523e-18 
                39 3.900000000000e-10 3.942165388266e-19 -7.217948462786e-01 3.863312683120e-01 -1.011050507262e-02 8.384770712408e-19 2.468346118415e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.912606650829e-18 
                40 4.000000000000e-10 2.987448281662e-19 -7.773665477458e-01 4.090567189914e-01 -2.967107569701e-02 6.031061420335e-19 2.827962831064e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.132324144932e-18 
                41 4.100000000000e-10 1.875448135901e-19 -8.386234516393e-01 3.880972129889e-01 -5.032765977387e-02 5.614614778301e-19 2.970926574687e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.344843238927e-18 
                42 4.200000000000e-10 6.679498776840e-20 -8.900866390894e-01 3.179159418691e-01 -6.878700426183e-02 5.403366374766e-19 3.015933831037e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.489475480746e-18 
                43 4.300000000000e-10 -6.089182586793e-20 -9.168662818652e-01 2.100474530593e-01 -8.125959527167e-02 5.353596119483e-19 2.922465749490e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -3.518717187306e-18 
