#               step                time             E_total                 m_x                 m_y                 m_z              E_exch             E_demag 
#         <unitless>                 <s>                 <J>          <unitless>          <unitless>          <unitless>                 <J>                 <J> 
                38 +1.900000000000e-09 +3.894082067463e-18 -2.432457234533e-01 +5.704531250863e-02 +2.052065649236e-02 +2.715459867335e-18 +1.178622200128e-18 
                39 +1.950000000000e-09 +3.897904599563e-18 -2.477943405604e-01 +4.462626368793e-02 +2.053259283542e-02 +2.713685015386e-18 +1.184219584177e-18 
                40 +2.000000000000e-09 +3.898983927052e-18 -2.502818905530e-01 +3.175856571407e-02 +2.050693207539e-02 +2.713318182175e-18 +1.185665744877e-18 
                41 +2.050000000000e-09 +3.897411269837e-18 -2.508028041282e-01 +1.889295575249e-02 +2.046253118955e-02 +2.714235423814e-18 +1.183175846023e-18 
                42 +2.100000000000e-09 +3.892274620963e-18 -2.485686075265e-01 +6.586467474305e-03 +2.048106551167e-02 +2.715420620475e-18 +1.176854000489e-18 
                43 +2.150000000000e-09 +3.883025467018e-18 -2.430431648577e-01 -4.532270630736e-03 +2.060822890082e-02 +2.716275788176e-18 +1.166749678842e-18 
                44 +2.200000000000e-09 +3.870440816992e-18 -2.347959872788e-01 -1.379723840460e-02 +2.081407239885e-02 +2.717035256643e-18 +1.153405560349e-18 
                45 +2.250000000000e-09 +3.856133755713e-18 -2.250575641202e-01 -2.037333275091e-02 +2.108799033684e-02 +2.717638307086e-18 +1.138495448627e-18 
                46 +2.300000000000e-09 +3.841574255934e-18 -2.148541300886e-01 -2.360043387186e-02 +2.141089241280e-02 +2.717662658632e-18 +1.123911597301e-18 
                47 +2.350000000000e-09 +3.827655504825e-18 -2.047856278543e-01 -2.356772648726e-02 +2.173117094041e-02 +2.717166118767e-18 +1.110489386058e-18 
                48 +2.400000000000e-09 +3.814843573922e-18 -1.952200557376e-01 -2.102146220789e-02 +2.199308129042e-02 +2.716773743238e-18 +1.098069830683e-18 
                49 +2.450000000000e-09 +3.803466771758e-18 -1.864859790126e-01 -1.680772183223e-02 +2.217233276218e-02 +2.716997393919e-18 +1.086469377839e-18 
                50 +2.500000000000e-09 +3.793906883898e-18 -1.789578126360e-01 -1.147791696118e-02 +2.228150005804e-02 +2.717822826848e-18 +1.076084057050e-18 
                51 +2.550000000000e-09 +3.786644701052e-18 -1.730574239014e-01 -5.302156964230e-03 +2.234631823821e-02 +2.718817145715e-18 +1.067827555338e-18 
                52 +2.600000000000e-09 +3.782132957755e-18 -1.691719193536e-01 +1.493634294751e-03 +2.238834411501e-02 +2.719461009527e-18 +1.062671948228e-18 
                53 +2.650000000000e-09 +3.780557552076e-18 -1.674931349497e-01 +8.585312128662e-03 +2.241768371378e-02 +2.719457546639e-18 +1.061100005437e-18 
                54 +2.700000000000e-09 +3.781684285481e-18 -1.678864505310e-01 +1.558496910261e-02 +2.243294527844e-02 +2.718870740509e-18 +1.062813544973e-18 
                55 +2.750000000000e-09 +3.784957328699e-18 -1.699499025069e-01 +2.214898062581e-02 +2.242710610614e-02 +2.718002755713e-18 +1.066954572986e-18 
                56 +2.800000000000e-09 +3.789754627413e-18 -1.732172519533e-01 +2.804257817119e-02 +2.239478390436e-02 +2.717158318326e-18 +1.072596309087e-18 
                57 +2.850000000000e-09 +3.795578874759e-18 -1.773173157042e-01 +3.314349978385e-02 +2.233512695992e-02 +2.716517686101e-18 +1.079061188658e-18 
                58 +2.900000000000e-09 +3.802098500298e-18 -1.820048604891e-01 +3.740499908095e-02 +2.224960370078e-02 +2.716150947162e-18 +1.085947553136e-18 
                59 +2.950000000000e-09 +3.809092584643e-18 -1.871162131858e-01 +4.080242459542e-02 +2.213986413570e-02 +2.716068109528e-18 +1.093024475116e-18 
                60 +3.000000000000e-09 +3.816374746980e-18 -1.925109434421e-01 +4.328508247909e-02 +2.200822020578e-02 +2.716236866739e-18 +1.100137880241e-18 
                61 +3.050000000000e-09 +3.823733935834e-18 -1.980306424535e-01 +4.474786339529e-02 +2.185964357209e-02 +2.716572062787e-18 +1.107161873047e-18 
                62 +3.100000000000e-09 +3.830907822458e-18 -2.034844245562e-01 +4.504284946729e-02 +2.170382867015e-02 +2.716937258541e-18 +1.113970563917e-18 
                63 +3.150000000000e-09 +3.837597495658e-18 -2.086613830045e-01 +4.403375446591e-02 +2.155360987299e-02 +2.717193348897e-18 +1.120404146761e-18 
                64 +3.200000000000e-09 +3.843516883153e-18 -2.133630033801e-01 +4.166507308792e-02 +2.142002209265e-02 +2.717276941785e-18 +1.126239941368e-18 
                65 +3.250000000000e-09 +3.848442465892e-18 -2.174315321123e-01 +3.800185771566e-02 +2.130729307312e-02 +2.717248576991e-18 +1.131193888901e-18 
                66 +3.300000000000e-09 +3.852216071554e-18 -2.207467247131e-01 +3.322320704246e-02 +2.121296602068e-02 +2.717263123931e-18 +1.134952947623e-18 
                67 +3.350000000000e-09 +3.854688043884e-18 -2.231823406649e-01 +2.759790387748e-02 +2.113422791668e-02 +2.717473326429e-18 +1.137214717455e-18 
                68 +3.400000000000e-09 +3.855653295785e-18 -2.245565049313e-01 +2.147279444492e-02 +2.107540840863e-02 +2.717924383974e-18 +1.137728911811e-18 
                69 +3.450000000000e-09 +3.854869903120e-18 -2.246431462738e-01 +1.526967760315e-02 +2.104962056710e-02 +2.718514624512e-18 +1.136355278608e-18 
                70 +3.500000000000e-09 +3.852197030521e-18 -2.232809193565e-01 +9.463192590819e-03 +2.107132943163e-02 +2.719061793131e-18 +1.133135237390e-18 
                71 +3.550000000000e-09 +3.847758841129e-18 -2.205114348117e-01 +4.525397211680e-03 +2.114616397861e-02 +2.719414252634e-18 +1.128344588495e-18 
                72 +3.600000000000e-09 +3.841981962114e-18 -2.166176206048e-01 +8.453489124219e-04 +2.126671054195e-02 +2.719509531971e-18 +1.122472430143e-18 
                73 +3.650000000000e-09 +3.835471336717e-18 -2.120299695263e-01 -1.356212183943e-03 +2.141508064569e-02 +2.719373543696e-18 +1.116097793021e-18 
