#              step               time            E_total                m_x                m_y                m_z 
#                                    s                  J                                                          
                12 5.500000000000e-10 4.043411229285e-18 -3.069371449242e-01 1.145294734878e-01 1.831834159502e-02 
                13 6.000000000000e-10 4.052747210815e-18 -3.202301531625e-01 8.369844805883e-02 1.775621551787e-02 
                13 6.000000000000e-10 4.052747210815e-18 -3.202301531625e-01 8.369844805883e-02 1.775621551787e-02 
                14 6.500000000000e-10 4.052099294276e-18 -3.270822181596e-01 5.280908665450e-02 1.821406024368e-02 
                14 6.500000000000e-10 4.052099294276e-18 -3.270822181596e-01 5.280908665450e-02 1.821406024368e-02 
                15 7.000000000000e-10 4.044032610338e-18 -3.258288225055e-01 2.244576144658e-02 1.817313989843e-02 
                15 7.000000000000e-10 4.044032610338e-18 -3.258288225055e-01 2.244576144658e-02 1.817313989843e-02 
                16 7.500000000000e-10 4.028105278150e-18 -3.200395281577e-01 -7.434641055800e-03 1.820110219396e-02 
                16 7.500000000000e-10 4.028105278150e-18 -3.200395281577e-01 -7.434641055800e-03 1.820110219396e-02 
                17 8.000000000000e-10 4.004325129455e-18 -3.065305071645e-01 -3.356351215075e-02 1.883325485384e-02 
                17 8.000000000000e-10 4.004325129455e-18 -3.065305071645e-01 -3.356351215075e-02 1.883325485384e-02 
                18 8.500000000000e-10 3.977177392629e-18 -2.901952086922e-01 -5.595385864389e-02 1.893031266490e-02 
                18 8.500000000000e-10 3.977177392629e-18 -2.901952086922e-01 -5.595385864389e-02 1.893031266490e-02 
                19 9.000000000000e-10 3.946423587252e-18 -2.708610555992e-01 -7.192925818407e-02 1.983996816279e-02 
                19 9.000000000000e-10 3.946423587252e-18 -2.708610555992e-01 -7.192925818407e-02 1.983996816279e-02 
                20 9.500000000000e-10 3.912062825640e-18 -2.473704707141e-01 -8.211838098117e-02 2.024006145550e-02 
                20 9.500000000000e-10 3.912062825640e-18 -2.473704707141e-01 -8.211838098117e-02 2.024006145550e-02 
                21 1.000000000000e-09 3.875815931613e-18 -2.223856882984e-01 -8.843726191701e-02 2.073309609986e-02 
                21 1.000000000000e-09 3.875815931613e-18 -2.223856882984e-01 -8.843726191701e-02 2.073309609986e-02 
                22 1.050000000000e-09 3.841026848566e-18 -1.984136721689e-01 -8.665540078056e-02 2.164106374405e-02 
                22 1.050000000000e-09 3.841026848566e-18 -1.984136721689e-01 -8.665540078056e-02 2.164106374405e-02 
                23 1.100000000000e-09 3.809626780916e-18 -1.754996976542e-01 -7.938422317815e-02 2.206182104725e-02 
                23 1.100000000000e-09 3.809626780916e-18 -1.754996976542e-01 -7.938422317815e-02 2.206182104725e-02 
                24 1.150000000000e-09 3.782531811722e-18 -1.555560874649e-01 -6.946495384537e-02 2.234256272894e-02 
                24 1.150000000000e-09 3.782531811722e-18 -1.555560874649e-01 -6.946495384537e-02 2.234256272894e-02 
                25 1.200000000000e-09 3.761838889626e-18 -1.404089167602e-01 -5.449686425548e-02 2.293525763621e-02 
                25 1.200000000000e-09 3.761838889626e-18 -1.404089167602e-01 -5.449686425548e-02 2.293525763621e-02 
                26 1.250000000000e-09 3.747217273852e-18 -1.294425178417e-01 -3.594739904960e-02 2.325609789227e-02 
                26 1.250000000000e-09 3.747217273852e-18 -1.294425178417e-01 -3.594739904960e-02 2.325609789227e-02 
                27 1.300000000000e-09 3.737431291307e-18 -1.217003384453e-01 -1.544297018536e-02 2.344053134396e-02 
                27 1.300000000000e-09 3.737431291307e-18 -1.217003384453e-01 -1.544297018536e-02 2.344053134396e-02 
                28 1.350000000000e-09 3.734483001261e-18 -1.184799145331e-01 5.180570839702e-03 2.335520257296e-02 
                28 1.350000000000e-09 3.734483001261e-18 -1.184799145331e-01 5.180570839702e-03 2.335520257296e-02 
                29 1.400000000000e-09 3.739034344613e-18 -1.216230877126e-01 2.478537761281e-02 2.340328463143e-02 
                29 1.400000000000e-09 3.739034344613e-18 -1.216230877126e-01 2.478537761281e-02 2.340328463143e-02 
                30 1.450000000000e-09 3.748389827782e-18 -1.283407710571e-01 4.348067869641e-02 2.326240253537e-02 
                30 1.450000000000e-09 3.748389827782e-18 -1.283407710571e-01 4.348067869641e-02 2.326240253537e-02 
                31 1.500000000000e-09 3.761194102745e-18 -1.372441100293e-01 5.982811275437e-02 2.288326445793e-02 
                31 1.500000000000e-09 3.761194102745e-18 -1.372441100293e-01 5.982811275437e-02 2.288326445793e-02 
                32 1.550000000000e-09 3.777751045849e-18 -1.492027425933e-01 7.246798056690e-02 2.247617566775e-02 
                32 1.550000000000e-09 3.777751045849e-18 -1.492027425933e-01 7.246798056690e-02 2.247617566775e-02 
                33 1.600000000000e-09 3.797126803251e-18 -1.637125945438e-01 8.050364788291e-02 2.215540198016e-02 
                33 1.600000000000e-09 3.797126803251e-18 -1.637125945438e-01 8.050364788291e-02 2.215540198016e-02 
                34 1.650000000000e-09 3.817520169672e-18 -1.795158377473e-01 8.446839980529e-02 2.189547202753e-02 
                34 1.650000000000e-09 3.817520169672e-18 -1.795158377473e-01 8.446839980529e-02 2.189547202753e-02 
                35 1.700000000000e-09 3.837913259174e-18 -1.956921559874e-01 8.578717509937e-02 2.156198087899e-02 
                35 1.700000000000e-09 3.837913259174e-18 -1.956921559874e-01 8.578717509937e-02 2.156198087899e-02 
                36 1.750000000000e-09 3.857327207200e-18 -2.111778198129e-01 8.410924498545e-02 2.111979845432e-02 
                36 1.750000000000e-09 3.857327207200e-18 -2.111778198129e-01 8.410924498545e-02 2.111979845432e-02 
                37 1.800000000000e-09 3.874042509402e-18 -2.248499806648e-01 7.825983104125e-02 2.072687877071e-02 
                37 1.800000000000e-09 3.874042509402e-18 -2.248499806648e-01 7.825983104125e-02 2.072687877071e-02 
                38 1.850000000000e-09 3.886448596219e-18 -2.357183291712e-01 6.875612226280e-02 2.053883726831e-02 
                38 1.850000000000e-09 3.886448596219e-18 -2.357183291712e-01 6.875612226280e-02 2.053883726831e-02 
                39 1.900000000000e-09 3.894162126596e-18 -2.432446971159e-01 5.727907331687e-02 2.051746717911e-02 
                39 1.900000000000e-09 3.894162126596e-18 -2.432446971159e-01 5.727907331687e-02 2.051746717911e-02 
                40 1.950000000000e-09 3.898044191688e-18 -2.478372853023e-01 4.487786707390e-02 2.052975446314e-02 
                40 1.950000000000e-09 3.898044191688e-18 -2.478372853023e-01 4.487786707390e-02 2.052975446314e-02 
                41 2.000000000000e-09 3.899171029504e-18 -2.503582834940e-01 3.202254174478e-02 2.050493564449e-02 
                41 2.000000000000e-09 3.899171029504e-18 -2.503582834940e-01 3.202254174478e-02 2.050493564449e-02 
                42 2.050000000000e-09 3.897659303875e-18 -2.509243252090e-01 1.916021755222e-02 2.046027165624e-02 
                42 2.050000000000e-09 3.897659303875e-18 -2.509243252090e-01 1.916021755222e-02 2.046027165624e-02 
                43 2.100000000000e-09 3.892607212238e-18 -2.487570500888e-01 6.843596482101e-03 2.047674729304e-02 
                43 2.100000000000e-09 3.892607212238e-18 -2.487570500888e-01 6.843596482101e-03 2.047674729304e-02 
                44 2.150000000000e-09 3.883443218116e-18 -2.433025165718e-01 -4.301640829561e-03 2.060181093183e-02 
                44 2.150000000000e-09 3.883443218116e-18 -2.433025165718e-01 -4.301640829561e-03 2.060181093183e-02 
                45 2.200000000000e-09 3.870913513668e-18 -2.351043024637e-01 -1.361552602649e-02 2.080587508491e-02 
                45 2.200000000000e-09 3.870913513668e-18 -2.351043024637e-01 -1.361552602649e-02 2.080587508491e-02 
                46 2.250000000000e-09 3.856620936213e-18 -2.253864987537e-01 -2.026750903508e-02 2.107779593326e-02 
                46 2.250000000000e-09 3.856620936213e-18 -2.253864987537e-01 -2.026750903508e-02 2.107779593326e-02 
                47 2.300000000000e-09 3.842046093768e-18 -2.151847226381e-01 -2.358253991855e-02 2.139976639019e-02 
                47 2.300000000000e-09 3.842046093768e-18 -2.151847226381e-01 -2.358253991855e-02 2.139976639019e-02 
                48 2.350000000000e-09 3.828096821751e-18 -2.051075603357e-01 -2.362411066512e-02 2.172099279925e-02 
                48 2.350000000000e-09 3.828096821751e-18 -2.051075603357e-01 -2.362411066512e-02 2.172099279925e-02 
                49 2.400000000000e-09 3.815247093334e-18 -1.955258292085e-01 -2.112577578937e-02 2.198523702105e-02 
                49 2.400000000000e-09 3.815247093334e-18 -1.955258292085e-01 -2.112577578937e-02 2.198523702105e-02 
                50 2.450000000000e-09 3.803826213516e-18 -1.867675332726e-01 -1.693853915359e-02 2.216691278468e-02 
                50 2.450000000000e-09 3.803826213516e-18 -1.867675332726e-01 -1.693853915359e-02 2.216691278468e-02 
                51 2.500000000000e-09 3.794213334685e-18 -1.792054852931e-01 -1.162556675482e-02 2.227777148255e-02 
                51 2.500000000000e-09 3.794213334685e-18 -1.792054852931e-01 -1.162556675482e-02 2.227777148255e-02 
                52 2.550000000000e-09 3.786887053037e-18 -1.732607782684e-01 -5.463695990154e-03 2.234347681377e-02 
                52 2.550000000000e-09 3.786887053037e-18 -1.732607782684e-01 -5.463695990154e-03 2.234347681377e-02 
                53 2.600000000000e-09 3.782302675949e-18 -1.693225686169e-01 1.322027956518e-03 2.238589978019e-02 
                53 2.600000000000e-09 3.782302675949e-18 -1.693225686169e-01 1.322027956518e-03 2.238589978019e-02 
                54 2.650000000000e-09 3.780654728369e-18 -1.675891065181e-01 8.411118304559e-03 2.241552402035e-02 
                54 2.650000000000e-09 3.780654728369e-18 -1.675891065181e-01 8.411118304559e-03 2.241552402035e-02 
                55 2.700000000000e-09 3.781719258443e-18 -1.679340040559e-01 1.541752484886e-02 2.243122739129e-02 
                55 2.700000000000e-09 3.781719258443e-18 -1.679340040559e-01 1.541752484886e-02 2.243122739129e-02 
                56 2.750000000000e-09 3.784945968507e-18 -1.699601339498e-01 2.199680216473e-02 2.242601757556e-02 
                56 2.750000000000e-09 3.784945968507e-18 -1.699601339498e-01 2.199680216473e-02 2.242601757556e-02 
                57 2.800000000000e-09 3.789712120328e-18 -1.732009767836e-01 2.791201429164e-02 2.239437953589e-02 
                57 2.800000000000e-09 3.789712120328e-18 -1.732009767836e-01 2.791201429164e-02 2.239437953589e-02 
                58 2.850000000000e-09 3.795516646144e-18 -1.772825118419e-01 3.303857947270e-02 2.233531572891e-02 
                58 2.850000000000e-09 3.795516646144e-18 -1.772825118419e-01 3.303857947270e-02 2.233531572891e-02 
                59 2.900000000000e-09 3.802024533628e-18 -1.819569876003e-01 3.732806511130e-02 2.225024629393e-02 
                59 2.900000000000e-09 3.802024533628e-18 -1.819569876003e-01 3.732806511130e-02 2.225024629393e-02 
                60 2.950000000000e-09 3.809013134605e-18 -1.870595725900e-01 4.075497618563e-02 2.214081564974e-02 
                60 2.950000000000e-09 3.809013134605e-18 -1.870595725900e-01 4.075497618563e-02 2.214081564974e-02 
                61 3.000000000000e-09 3.816295886673e-18 -1.924498926528e-01 4.326851159473e-02 2.200933264613e-02 
                61 3.000000000000e-09 3.816295886673e-18 -1.924498926528e-01 4.326851159473e-02 2.200933264613e-02 
                62 3.050000000000e-09 3.823662347121e-18 -1.979701072298e-01 4.476373216759e-02 2.186073018918e-02 
                62 3.050000000000e-09 3.823662347121e-18 -1.979701072298e-01 4.476373216759e-02 2.186073018918e-02 
                63 3.100000000000e-09 3.830850653415e-18 -2.034297362786e-01 4.509238063189e-02 2.170466292051e-02 
                63 3.100000000000e-09 3.830850653415e-18 -2.034297362786e-01 4.509238063189e-02 2.170466292051e-02 
                64 3.150000000000e-09 3.837561415471e-18 -2.086175899620e-01 4.411683118395e-02 2.155400205382e-02 
                64 3.150000000000e-09 3.837561415471e-18 -2.086175899620e-01 4.411683118395e-02 2.155400205382e-02 
                65 3.200000000000e-09 3.843506959185e-18 -2.133341316005e-01 4.177948838154e-02 2.141991488885e-02 
                65 3.200000000000e-09 3.843506959185e-18 -2.133341316005e-01 4.177948838154e-02 2.141991488885e-02 
                66 3.250000000000e-09 3.848461909433e-18 -2.174204688747e-01 3.814335551388e-02 2.130678796461e-02 
                66 3.250000000000e-09 3.848461909433e-18 -2.174204688747e-01 3.814335551388e-02 2.130678796461e-02 
                67 3.300000000000e-09 3.852267498967e-18 -2.207561427589e-01 3.338590825196e-02 2.121220069179e-02 
                67 3.300000000000e-09 3.852267498967e-18 -2.207561427589e-01 3.338590825196e-02 2.121220069179e-02 
                68 3.350000000000e-09 3.854775527378e-18 -2.232162712487e-01 2.777432090025e-02 2.113317623897e-02 
                68 3.350000000000e-09 3.854775527378e-18 -2.232162712487e-01 2.777432090025e-02 2.113317623897e-02 
                69 3.400000000000e-09 3.855783080515e-18 -2.246210427880e-01 2.165336173948e-02 2.107375620845e-02 
                69 3.400000000000e-09 3.855783080515e-18 -2.246210427880e-01 2.165336173948e-02 2.107375620845e-02 
                70 3.450000000000e-09 3.855047782286e-18 -2.247445642989e-01 1.544256597119e-02 2.104687204935e-02 
