#               step           E_total_1           E_total_2           E_total_3           E_total_4           E_total_5           E_total_6           E_total_7           E_total_8 
#                                      J                   J                   J                   J                   J                   J                   J                   J 
               296 -1.308109356301e-18 -1.306225328269e-18 -1.295484380667e-18 -1.255920361929e-18 -1.228265930662e-18 -1.273317382703e-18 -1.312505197101e-18 -1.327104000000e-18 
               297 -1.308109356301e-18 -1.306225353323e-18 -1.295484486542e-18 -1.255920276115e-18 -1.228265818654e-18 -1.273317073088e-18 -1.312505051378e-18 -1.327104000000e-18 
               298 -1.308109356301e-18 -1.306225376393e-18 -1.295484583585e-18 -1.255920186574e-18 -1.228265711351e-18 -1.273316785771e-18 -1.312504916476e-18 -1.327104000000e-18 
               299 -1.308109356301e-18 -1.306225395993e-18 -1.295484665934e-18 -1.255920108950e-18 -1.228265619979e-18 -1.273316540915e-18 -1.312504801602e-18 -1.327104000000e-18 
               300 -1.308109356301e-18 -1.306225923372e-18 -1.295486879482e-18 -1.255917994874e-18 -1.228263160911e-18 -1.273309935144e-18 -1.312501704207e-18 -1.327104000000e-18 
               301 -1.308109356301e-18 -1.306225998580e-18 -1.295487186582e-18 -1.255917618944e-18 -1.228262822818e-18 -1.273308928507e-18 -1.312501238131e-18 -1.327104000000e-18 
               302 -1.308109356301e-18 -1.306226091408e-18 -1.295487563287e-18 -1.255917128892e-18 -1.228262406022e-18 -1.273307673054e-18 -1.312500658026e-18 -1.327104000000e-18 
               303 -1.308109356301e-18 -1.306226113305e-18 -1.295487651931e-18 -1.255917029282e-18 -1.228262311273e-18 -1.273307374647e-18 -1.312500519854e-18 -1.327104000000e-18 
               304 -1.308109356301e-18 -1.306226133976e-18 -1.295487735222e-18 -1.255916920242e-18 -1.228262220022e-18 -1.273307091197e-18 -1.312500389021e-18 -1.327104000000e-18 
               305 -1.308109356301e-18 -1.306226152396e-18 -1.295487809308e-18 -1.255916820970e-18 -1.228262138608e-18 -1.273306837849e-18 -1.312500272146e-18 -1.327104000000e-18 
               306 -1.308109356301e-18 -1.306226529537e-18 -1.295489323949e-18 -1.255914767143e-18 -1.228260471800e-18 -1.273301637125e-18 -1.312497873697e-18 -1.327104000000e-18 
               307 -1.308109356301e-18 -1.306226567360e-18 -1.295489471669e-18 -1.255914531383e-18 -1.228260309729e-18 -1.273301089103e-18 -1.312497622016e-18 -1.327104000000e-18 
               308 -1.308109356301e-18 -1.306226627634e-18 -1.295489706246e-18 -1.255914145379e-18 -1.228260051667e-18 -1.273300210880e-18 -1.312497218897e-18 -1.327104000000e-18 
               309 -1.308109356301e-18 -1.306226643855e-18 -1.295489769133e-18 -1.255914041837e-18 -1.228259982673e-18 -1.273299972770e-18 -1.312497109559e-18 -1.327104000000e-18 
               310 -1.308109356301e-18 -1.306226670012e-18 -1.295489870350e-18 -1.255913869868e-18 -1.228259871206e-18 -1.273299587843e-18 -1.312496932857e-18 -1.327104000000e-18 
               311 -1.308109356301e-18 -1.306226696109e-18 -1.295489971132e-18 -1.255913696530e-18 -1.228259760198e-18 -1.273299202458e-18 -1.312496755941e-18 -1.327104000000e-18 
               312 -1.308109356301e-18 -1.306235230416e-18 -1.295522798463e-18 -1.255855274406e-18 -1.228223094988e-18 -1.273172358355e-18 -1.312438525764e-18 -1.327104000000e-18 
               313 -1.308109356301e-18 -1.306235204329e-18 -1.295522550743e-18 -1.255853583759e-18 -1.228223263690e-18 -1.273171875989e-18 -1.312438304970e-18 -1.327104000000e-18 
               314 -1.308109356301e-18 -1.306235196294e-18 -1.295522500372e-18 -1.255854285893e-18 -1.228223416862e-18 -1.273171757951e-18 -1.312438239373e-18 -1.327104000000e-18 
               315 -1.308109356301e-18 -1.306235188288e-18 -1.295522429455e-18 -1.255853991361e-18 -1.228223485476e-18 -1.273171618866e-18 -1.312438172793e-18 -1.327104000000e-18 
               316 -1.308109356301e-18 -1.306235101548e-18 -1.295521662276e-18 -1.255850807020e-18 -1.228224224855e-18 -1.273170121698e-18 -1.312437453680e-18 -1.327104000000e-18 
               317 -1.308109356301e-18 -1.306235055788e-18 -1.295521264532e-18 -1.255849175309e-18 -1.228224600762e-18 -1.273169387813e-18 -1.312437086957e-18 -1.327104000000e-18 
               318 -1.308109356301e-18 -1.306234983692e-18 -1.295520643805e-18 -1.255846630082e-18 -1.228225178024e-18 -1.273168274430e-18 -1.312436519576e-18 -1.327104000000e-18 
               319 -1.308109356301e-18 -1.306234966783e-18 -1.295520501234e-18 -1.255846063339e-18 -1.228225314559e-18 -1.273168030695e-18 -1.312436390580e-18 -1.327104000000e-18 
               320 -1.308109356301e-18 -1.306234948444e-18 -1.295520346534e-18 -1.255845436956e-18 -1.228225457523e-18 -1.273167768340e-18 -1.312436251457e-18 -1.327104000000e-18 
               321 -1.308109356301e-18 -1.306234937320e-18 -1.295520253073e-18 -1.255845059321e-18 -1.228225543738e-18 -1.273167611610e-18 -1.312436167715e-18 -1.327104000000e-18 
               322 -1.308109356301e-18 -1.306234495919e-18 -1.295516552320e-18 -1.255830124975e-18 -1.228228949268e-18 -1.273161447460e-18 -1.312432859690e-18 -1.327104000000e-18 
               323 -1.308109356301e-18 -1.306234463544e-18 -1.295516303897e-18 -1.255829173172e-18 -1.228229164576e-18 -1.273161142644e-18 -1.312432659069e-18 -1.327104000000e-18 
               324 -1.308109356301e-18 -1.306234452060e-18 -1.295516217933e-18 -1.255828842347e-18 -1.228229241484e-18 -1.273161047366e-18 -1.312432589352e-18 -1.327104000000e-18 
               325 -1.308109356301e-18 -1.306234442893e-18 -1.295516148544e-18 -1.255828577406e-18 -1.228229302270e-18 -1.273160966454e-18 -1.312432533784e-18 -1.327104000000e-18 
               326 -1.308109356301e-18 -1.306234428699e-18 -1.295516041141e-18 -1.255828168033e-18 -1.228229396207e-18 -1.273160841173e-18 -1.312432448083e-18 -1.327104000000e-18 
               327 -1.308109356301e-18 -1.306234395251e-18 -1.295515788673e-18 -1.255827207654e-18 -1.228229617092e-18 -1.273160549255e-18 -1.312432247470e-18 -1.327104000000e-18 
               328 -1.308109356301e-18 -1.306231718355e-18 -1.295495686947e-18 -1.255751100573e-18 -1.228247156727e-18 -1.273137769252e-18 -1.312416429072e-18 -1.327104000000e-18 
               329 -1.308109356301e-18 -1.306231690273e-18 -1.295495554652e-18 -1.255750797537e-18 -1.228247284087e-18 -1.273137915971e-18 -1.312416425419e-18 -1.327104000000e-18 
               330 -1.308109356301e-18 -1.306231679041e-18 -1.295495504035e-18 -1.255750812852e-18 -1.228247344382e-18 -1.273138041186e-18 -1.312416445253e-18 -1.327104000000e-18 
               331 -1.308109356301e-18 -1.306231667806e-18 -1.295495451481e-18 -1.255750715300e-18 -1.228247396980e-18 -1.273138111067e-18 -1.312416447933e-18 -1.327104000000e-18 
               332 -1.308109356301e-18 -1.306231648441e-18 -1.295495360917e-18 -1.255750547655e-18 -1.228247487702e-18 -1.273138231442e-18 -1.312416452870e-18 -1.327104000000e-18 
               333 -1.308109356301e-18 -1.306231615533e-18 -1.295495207146e-18 -1.255750265445e-18 -1.228247642319e-18 -1.273138436222e-18 -1.312416462348e-18 -1.327104000000e-18 
               334 -1.308109356301e-18 -1.306230752762e-18 -1.295491181128e-18 -1.255742980075e-18 -1.228251710189e-18 -1.273143811432e-18 -1.312416757873e-18 -1.327104000000e-18 
               335 -1.308109356301e-18 -1.306230732069e-18 -1.295491089016e-18 -1.255742888033e-18 -1.228251822073e-18 -1.273143950137e-18 -1.312416797851e-18 -1.327104000000e-18 
               336 -1.308109356301e-18 -1.306230720403e-18 -1.295491037461e-18 -1.255742840451e-18 -1.228251885981e-18 -1.273144029946e-18 -1.312416821081e-18 -1.327104000000e-18 
               337 -1.308109356301e-18 -1.306230709642e-18 -1.295490989640e-18 -1.255742793214e-18 -1.228251943796e-18 -1.273144102416e-18 -1.312416842111e-18 -1.327104000000e-18 
               338 -1.308109356301e-18 -1.306230649742e-18 -1.295490723696e-18 -1.255742531565e-18 -1.228252264985e-18 -1.273144506870e-18 -1.312416959813e-18 -1.327104000000e-18 
               339 -1.308109356301e-18 -1.306230549342e-18 -1.295490280335e-18 -1.255742109700e-18 -1.228252799984e-18 -1.273145195858e-18 -1.312417163369e-18 -1.327104000000e-18 
               340 -1.308109356301e-18 -1.306230383893e-18 -1.295489550372e-18 -1.255741247819e-18 -1.228253658276e-18 -1.273146354090e-18 -1.312417514371e-18 -1.327104000000e-18 
               341 -1.308109356301e-18 -1.306230374392e-18 -1.295489515357e-18 -1.255741453505e-18 -1.228253726653e-18 -1.273146430783e-18 -1.312417538290e-18 -1.327104000000e-18 
               342 -1.308109356301e-18 -1.306230364890e-18 -1.295489474371e-18 -1.255741422486e-18 -1.228253776414e-18 -1.273146500488e-18 -1.312417560304e-18 -1.327104000000e-18 
               343 -1.308109356301e-18 -1.306230354199e-18 -1.295489428295e-18 -1.255741387942e-18 -1.228253832369e-18 -1.273146579059e-18 -1.312417585169e-18 -1.327104000000e-18 
               344 -1.308109356301e-18 -1.306225437710e-18 -1.295468267125e-18 -1.255725709644e-18 -1.228279507082e-18 -1.273182754929e-18 -1.312429059828e-18 -1.327104000000e-18 
               345 -1.308109356301e-18 -1.306225410898e-18 -1.295468278370e-18 -1.255726735678e-18 -1.228279545649e-18 -1.273183440287e-18 -1.312429434634e-18 -1.327104000000e-18 
               346 -1.308109356301e-18 -1.306225399845e-18 -1.295468284602e-18 -1.255727145855e-18 -1.228279557527e-18 -1.273183717382e-18 -1.312429584823e-18 -1.327104000000e-18 
               347 -1.308109356301e-18 -1.306225393997e-18 -1.295468288345e-18 -1.255727371845e-18 -1.228279570139e-18 -1.273183863129e-18 -1.312429663646e-18 -1.327104000000e-18 
               348 -1.308109356301e-18 -1.306225387950e-18 -1.295468292238e-18 -1.255727595547e-18 -1.228279577389e-18 -1.273184012695e-18 -1.312429744525e-18 -1.327104000000e-18 
               349 -1.308109356301e-18 -1.306225383053e-18 -1.295468295517e-18 -1.255727775890e-18 -1.228279583113e-18 -1.273184133225e-18 -1.312429809633e-18 -1.327104000000e-18 
               350 -1.308109356301e-18 -1.306225188439e-18 -1.295468429636e-18 -1.255734916243e-18 -1.228279803869e-18 -1.273188904438e-18 -1.312432384873e-18 -1.327104000000e-18 
               351 -1.308109356301e-18 -1.306225147088e-18 -1.295468489660e-18 -1.255736234121e-18 -1.228279814112e-18 -1.273189774320e-18 -1.312432834663e-18 -1.327104000000e-18 
               352 -1.308109356301e-18 -1.306225134742e-18 -1.295468507415e-18 -1.255736612417e-18 -1.228279816199e-18 -1.273190018773e-18 -1.312432953202e-18 -1.327104000000e-18 
               353 -1.308109356301e-18 -1.306225130308e-18 -1.295468515829e-18 -1.255736771436e-18 -1.228279818598e-18 -1.273190123430e-18 -1.312433023459e-18 -1.327104000000e-18 
               354 -1.308109356301e-18 -1.306225125850e-18 -1.295468522695e-18 -1.255736911344e-18 -1.228279819384e-18 -1.273190214080e-18 -1.312433071223e-18 -1.327104000000e-18 
               355 -1.308109356301e-18 -1.306225120763e-18 -1.295468530553e-18 -1.255737070700e-18 -1.228279820245e-18 -1.273190317192e-18 -1.312433125573e-18 -1.327104000000e-18 
               356 -1.308109356301e-18 -1.306224735438e-18 -1.295469127806e-18 -1.255749115721e-18 -1.228279879148e-18 -1.273198099702e-18 -1.312437230198e-18 -1.327104000000e-18 
               357 -1.308109356301e-18 -1.306224712837e-18 -1.295469173699e-18 -1.255749725684e-18 -1.228279868403e-18 -1.273198445141e-18 -1.312437423013e-18 -1.327104000000e-18 
               358 -1.308109356301e-18 -1.306224702504e-18 -1.295469195031e-18 -1.255750005103e-18 -1.228279865340e-18 -1.273198602600e-18 -1.312437510637e-18 -1.327104000000e-18 
               359 -1.308109356301e-18 -1.306224694292e-18 -1.295469211816e-18 -1.255750223911e-18 -1.228279861206e-18 -1.273198725991e-18 -1.312437579535e-18 -1.327104000000e-18 
               360 -1.308109356301e-18 -1.306224684381e-18 -1.295469232057e-18 -1.255750486377e-18 -1.228279855730e-18 -1.273198874062e-18 -1.312437662257e-18 -1.327104000000e-18 
               361 -1.308109356301e-18 -1.306224679794e-18 -1.295469241438e-18 -1.255750607512e-18 -1.228279853148e-18 -1.273198942182e-18 -1.312437700353e-18 -1.327104000000e-18 
               362 -1.308109356301e-18 -1.306224669087e-18 -1.295469263320e-18 -1.255750889306e-18 -1.228279847005e-18 -1.273199100700e-18 -1.312437789007e-18 -1.327104000000e-18 
               363 -1.308109356301e-18 -1.306224649897e-18 -1.295469302542e-18 -1.255751391842e-18 -1.228279835671e-18 -1.273199382837e-18 -1.312437946927e-18 -1.327104000000e-18 
               364 -1.308109356301e-18 -1.306223964466e-18 -1.295470696710e-18 -1.255769064490e-18 -1.228279395173e-18 -1.273209320383e-18 -1.312443515674e-18 -1.327104000000e-18 
               365 -1.308109356301e-18 -1.306223959255e-18 -1.295470713003e-18 -1.255769279975e-18 -1.228279399779e-18 -1.273209373650e-18 -1.312443550744e-18 -1.327104000000e-18 
               366 -1.308109356301e-18 -1.306223954508e-18 -1.295470722544e-18 -1.255769368733e-18 -1.228279393389e-18 -1.273209413059e-18 -1.312443575044e-18 -1.327104000000e-18 
               367 -1.308109356301e-18 -1.306223949808e-18 -1.295470731871e-18 -1.255769454151e-18 -1.228279386920e-18 -1.273209451768e-18 -1.312443598967e-18 -1.327104000000e-18 
               368 -1.308109356301e-18 -1.306223865383e-18 -1.295470898250e-18 -1.255770982083e-18 -1.228279268653e-18 -1.273210141596e-18 -1.312444026551e-18 -1.327104000000e-18 
               369 -1.308109356301e-18 -1.306223802375e-18 -1.295471011763e-18 -1.255772065621e-18 -1.228279187543e-18 -1.273210608888e-18 -1.312444325133e-18 -1.327104000000e-18 
               370 -1.308109356301e-18 -1.306223768830e-18 -1.295471067645e-18 -1.255772578435e-18 -1.228279122588e-18 -1.273210839165e-18 -1.312444475273e-18 -1.327104000000e-18 
               371 -1.308109356301e-18 -1.306223762149e-18 -1.295471080336e-18 -1.255772729548e-18 -1.228279138153e-18 -1.273210890193e-18 -1.312444504977e-18 -1.327104000000e-18 
               372 -1.308109356301e-18 -1.306223755493e-18 -1.295471091317e-18 -1.255772836144e-18 -1.228279129880e-18 -1.273210935248e-18 -1.312444533877e-18 -1.327104000000e-18 
               373 -1.308109356301e-18 -1.306223749952e-18 -1.295471100393e-18 -1.255772924470e-18 -1.228279123054e-18 -1.273210972494e-18 -1.312444557789e-18 -1.327104000000e-18 
               374 -1.308109356301e-18 -1.306223716901e-18 -1.295471154244e-18 -1.255773449208e-18 -1.228279082469e-18 -1.273211193525e-18 -1.312444699743e-18 -1.327104000000e-18 
               375 -1.308109356301e-18 -1.306223710180e-18 -1.295471164859e-18 -1.255773553507e-18 -1.228279074370e-18 -1.273211237126e-18 -1.312444727807e-18 -1.327104000000e-18 
               376 -1.308109356301e-18 -1.306223672192e-18 -1.295471224461e-18 -1.255774139756e-18 -1.228279028619e-18 -1.273211482021e-18 -1.312444885504e-18 -1.327104000000e-18 
               377 -1.308109356301e-18 -1.306223667040e-18 -1.295471232255e-18 -1.255774217234e-18 -1.228279022525e-18 -1.273211514089e-18 -1.312444906203e-18 -1.327104000000e-18 
               378 -1.308109356301e-18 -1.306223657508e-18 -1.295471246597e-18 -1.255774359827e-18 -1.228279011269e-18 -1.273211573137e-18 -1.312444944333e-18 -1.327104000000e-18 
               379 -1.308109356301e-18 -1.306223651066e-18 -1.295471256197e-18 -1.255774455533e-18 -1.228279003706e-18 -1.273211612690e-18 -1.312444969890e-18 -1.327104000000e-18 
               380 -1.308109356301e-18 -1.306222692127e-18 -1.295472676187e-18 -1.255788631624e-18 -1.228277878749e-18 -1.273217463741e-18 -1.312448752282e-18 -1.327104000000e-18 
               381 -1.308109356301e-18 -1.306222671778e-18 -1.295472681741e-18 -1.255788744386e-18 -1.228277863886e-18 -1.273217495330e-18 -1.312448776951e-18 -1.327104000000e-18 
               382 -1.308109356301e-18 -1.306222665748e-18 -1.295472683636e-18 -1.255788793687e-18 -1.228277861068e-18 -1.273217504768e-18 -1.312448784126e-18 -1.327104000000e-18 
               383 -1.308109356301e-18 -1.306222659961e-18 -1.295472685125e-18 -1.255788827798e-18 -1.228277857248e-18 -1.273217513533e-18 -1.312448790959e-18 -1.327104000000e-18 
               384 -1.308109356301e-18 -1.306222633945e-18 -1.295472691659e-18 -1.255788980086e-18 -1.228277840177e-18 -1.273217552666e-18 -1.312448821500e-18 -1.327104000000e-18 
               385 -1.308109356301e-18 -1.306222599712e-18 -1.295472699332e-18 -1.255789175033e-18 -1.228277818423e-18 -1.273217602619e-18 -1.312448860643e-18 -1.327104000000e-18 
               386 -1.308109356301e-18 -1.306218530591e-18 -1.295473466189e-18 -1.255811408173e-18 -1.228275246819e-18 -1.273223269271e-18 -1.312453346615e-18 -1.327104000000e-18 
               387 -1.308109356301e-18 -1.306218510855e-18 -1.295473429966e-18 -1.255811378682e-18 -1.228275350374e-18 -1.273223247115e-18 -1.312453322436e-18 -1.327104000000e-18 
               388 -1.308109356301e-18 -1.306218493125e-18 -1.295473393134e-18 -1.255811256146e-18 -1.228275374030e-18 -1.273223209031e-18 -1.312453299436e-18 -1.327104000000e-18 
               389 -1.308109356301e-18 -1.306218479651e-18 -1.295473364898e-18 -1.255811161690e-18 -1.228275391179e-18 -1.273223179883e-18 -1.312453281840e-18 -1.327104000000e-18 
               390 -1.308109356301e-18 -1.306218460985e-18 -1.295473325593e-18 -1.255811030749e-18 -1.228275414913e-18 -1.273223139537e-18 -1.312453257400e-18 -1.327104000000e-18 
               391 -1.308109356301e-18 -1.306218439095e-18 -1.295473279284e-18 -1.255810877717e-18 -1.228275442936e-18 -1.273223092493e-18 -1.312453228867e-18 -1.327104000000e-18 
               392 -1.308109356301e-18 -1.306218064823e-18 -1.295472483028e-18 -1.255808269781e-18 -1.228275924231e-18 -1.273222292530e-18 -1.312452742917e-18 -1.327104000000e-18 
               393 -1.308109356301e-18 -1.306218022397e-18 -1.295472384663e-18 -1.255807991249e-18 -1.228275985612e-18 -1.273222212666e-18 -1.312452691586e-18 -1.327104000000e-18 
               394 -1.308109356301e-18 -1.306218009232e-18 -1.295472354978e-18 -1.255807910982e-18 -1.228276005829e-18 -1.273222190483e-18 -1.312452678091e-18 -1.327104000000e-18 
               395 -1.308109356301e-18 -1.306217997198e-18 -1.295472327167e-18 -1.255807833651e-18 -1.228276023522e-18 -1.273222169010e-18 -1.312452664191e-18 -1.327104000000e-18 
               396 -1.308109356301e-18 -1.306217970763e-18 -1.295472266019e-18 -1.255807663918e-18 -1.228276062398e-18 -1.273222122190e-18 -1.312452633736e-18 -1.327104000000e-18 
               397 -1.308109356301e-18 -1.306217941022e-18 -1.295472197126e-18 -1.255807473647e-18 -1.228276106221e-18 -1.273222070438e-18 -1.312452599742e-18 -1.327104000000e-18 
               398 -1.308109356301e-18 -1.306216820524e-18 -1.295469596876e-18 -1.255800318479e-18 -1.228277758320e-18 -1.273220157838e-18 -1.312451329629e-18 -1.327104000000e-18 
               399 -1.308109356301e-18 -1.306216806407e-18 -1.295469562930e-18 -1.255800256826e-18 -1.228277782177e-18 -1.273220151368e-18 -1.312451319353e-18 -1.327104000000e-18 
               400 -1.308109356301e-18 -1.306216794525e-18 -1.295469533927e-18 -1.255800192733e-18 -1.228277801331e-18 -1.273220145627e-18 -1.312451310380e-18 -1.327104000000e-18 
               401 -1.308109356301e-18 -1.306216782704e-18 -1.295469505047e-18 -1.255800128378e-18 -1.228277820359e-18 -1.273220139971e-18 -1.312451301489e-18 -1.327104000000e-18 
               402 -1.308109356301e-18 -1.306216351873e-18 -1.295468452045e-18 -1.255797784037e-18 -1.228278513476e-18 -1.273219935083e-18 -1.312450978357e-18 -1.327104000000e-18 
               403 -1.308109356301e-18 -1.306216150923e-18 -1.295467960304e-18 -1.255796737482e-18 -1.228278853091e-18 -1.273219888441e-18 -1.312450860544e-18 -1.327104000000e-18 
               404 -1.308109356301e-18 -1.306215817439e-18 -1.295467142852e-18 -1.255795048750e-18 -1.228279419208e-18 -1.273219853556e-18 -1.312450684215e-18 -1.327104000000e-18 
               405 -1.308109356301e-18 -1.306215803752e-18 -1.295467110449e-18 -1.255794991768e-18 -1.228279444987e-18 -1.273219858196e-18 -1.312450682098e-18 -1.327104000000e-18 
               406 -1.308109356301e-18 -1.306215790246e-18 -1.295467077417e-18 -1.255794926939e-18 -1.228279468253e-18 -1.273219859932e-18 -1.312450676616e-18 -1.327104000000e-18 
               407 -1.308109356301e-18 -1.306215775827e-18 -1.295467042145e-18 -1.255794857704e-18 -1.228279493043e-18 -1.273219861882e-18 -1.312450670820e-18 -1.327104000000e-18 
               408 -1.308109356301e-18 -1.306215495443e-18 -1.295466356320e-18 -1.255793513927e-18 -1.228279975233e-18 -1.273219902071e-18 -1.312450559305e-18 -1.327104000000e-18 
               409 -1.308109356301e-18 -1.306215457855e-18 -1.295466264528e-18 -1.255793341484e-18 -1.228280041026e-18 -1.273219913626e-18 -1.312450547542e-18 -1.327104000000e-18 
               410 -1.308109356301e-18 -1.306215415554e-18 -1.295466161227e-18 -1.255793148336e-18 -1.228280115185e-18 -1.273219927463e-18 -1.312450534758e-18 -1.327104000000e-18 
               411 -1.308109356301e-18 -1.306215401330e-18 -1.295466126513e-18 -1.255793083894e-18 -1.228280140048e-18 -1.273219932476e-18 -1.312450530635e-18 -1.327104000000e-18 
               412 -1.308109356301e-18 -1.306215385069e-18 -1.295466086819e-18 -1.255793010084e-18 -1.228280168467e-18 -1.273219938299e-18 -1.312450525984e-18 -1.327104000000e-18 
               413 -1.308109356301e-18 -1.306215371458e-18 -1.295466053596e-18 -1.255792948449e-18 -1.228280192273e-18 -1.273219943292e-18 -1.312450522152e-18 -1.327104000000e-18 
               414 -1.308109356301e-18 -1.306214227981e-18 -1.295463262937e-18 -1.255787780445e-18 -1.228282192024e-18 -1.273220370809e-18 -1.312450204613e-18 -1.327104000000e-18 
               415 -1.308109356301e-18 -1.306214199266e-18 -1.295463193367e-18 -1.255787670212e-18 -1.228282243329e-18 -1.273220398837e-18 -1.312450205634e-18 -1.327104000000e-18 
               416 -1.308109356301e-18 -1.306214173012e-18 -1.295463129795e-18 -1.255787569935e-18 -1.228282290265e-18 -1.273220424807e-18 -1.312450206737e-18 -1.327104000000e-18 
               417 -1.308109356301e-18 -1.306214160208e-18 -1.295463098808e-18 -1.255787521513e-18 -1.228282313243e-18 -1.273220437627e-18 -1.312450207350e-18 -1.327104000000e-18 
               418 -1.308109356301e-18 -1.306214140595e-18 -1.295463051346e-18 -1.255787447243e-18 -1.228282348436e-18 -1.273220457371e-18 -1.312450208346e-18 -1.327104000000e-18 
               419 -1.308109356301e-18 -1.306214082052e-18 -1.295462909719e-18 -1.255787226329e-18 -1.228282453568e-18 -1.273220516812e-18 -1.312450211574e-18 -1.327104000000e-18 
               420 -1.308109356301e-18 -1.306211098288e-18 -1.295455699124e-18 -1.255776075257e-18 -1.228287816827e-18 -1.273223618161e-18 -1.312450413750e-18 -1.327104000000e-18 
               421 -1.308109356301e-18 -1.306211079138e-18 -1.295455655138e-18 -1.255776045729e-18 -1.228287853996e-18 -1.273223662167e-18 -1.312450427412e-18 -1.327104000000e-18 
               422 -1.308109356301e-18 -1.306211065216e-18 -1.295455623051e-18 -1.255776019708e-18 -1.228287880435e-18 -1.273223694048e-18 -1.312450437346e-18 -1.327104000000e-18 
               423 -1.308109356301e-18 -1.306211051841e-18 -1.295455592173e-18 -1.255775992480e-18 -1.228287905538e-18 -1.273223724625e-18 -1.312450446895e-18 -1.327104000000e-18 
               424 -1.308109356301e-18 -1.306210884528e-18 -1.295455205594e-18 -1.255775649729e-18 -1.228288217662e-18 -1.273224106038e-18 -1.312450565992e-18 -1.327104000000e-18 
               425 -1.308109356301e-18 -1.306210737167e-18 -1.295454865490e-18 -1.255775346271e-18 -1.228288483964e-18 -1.273224444825e-18 -1.312450673533e-18 -1.327104000000e-18 
               426 -1.308109356301e-18 -1.306210155438e-18 -1.295453528063e-18 -1.255774176119e-18 -1.228289545124e-18 -1.273225802610e-18 -1.312451108643e-18 -1.327104000000e-18 
               427 -1.308109356301e-18 -1.306210141435e-18 -1.295453497343e-18 -1.255774191030e-18 -1.228289573112e-18 -1.273225837835e-18 -1.312451120216e-18 -1.327104000000e-18 
               428 -1.308109356301e-18 -1.306210128018e-18 -1.295453466991e-18 -1.255774166985e-18 -1.228289596522e-18 -1.273225870694e-18 -1.312451131232e-18 -1.327104000000e-18 
               429 -1.308109356301e-18 -1.306210111245e-18 -1.295453429046e-18 -1.255774136958e-18 -1.228289625876e-18 -1.273225911792e-18 -1.312451145022e-18 -1.327104000000e-18 
               430 -1.308109356301e-18 -1.306209995477e-18 -1.295453167253e-18 -1.255773930949e-18 -1.228289829195e-18 -1.273226195879e-18 -1.312451240394e-18 -1.327104000000e-18 
               431 -1.308109356301e-18 -1.306209920183e-18 -1.295452997556e-18 -1.255773807442e-18 -1.228289964928e-18 -1.273226382709e-18 -1.312451303365e-18 -1.327104000000e-18 
               432 -1.308109356301e-18 -1.306209747055e-18 -1.295452607708e-18 -1.255773520230e-18 -1.228290271996e-18 -1.273226812502e-18 -1.312451449170e-18 -1.327104000000e-18 
               433 -1.308109356301e-18 -1.306209725891e-18 -1.295452560737e-18 -1.255773490233e-18 -1.228290311756e-18 -1.273226867637e-18 -1.312451467794e-18 -1.327104000000e-18 
               434 -1.308109356301e-18 -1.306209704892e-18 -1.295452513741e-18 -1.255773457381e-18 -1.228290349075e-18 -1.273226920646e-18 -1.312451485947e-18 -1.327104000000e-18 
               435 -1.308109356301e-18 -1.306209691459e-18 -1.295452483692e-18 -1.255773436436e-18 -1.228290372924e-18 -1.273226954596e-18 -1.312451497585e-18 -1.327104000000e-18 
               436 -1.308109356301e-18 -1.306209653918e-18 -1.295452399740e-18 -1.255773377911e-18 -1.228290439545e-18 -1.273227049551e-18 -1.312451530161e-18 -1.327104000000e-18 
               437 -1.308109356301e-18 -1.306209642082e-18 -1.295452373297e-18 -1.255773359626e-18 -1.228290460535e-18 -1.273227079559e-18 -1.312451540476e-18 -1.327104000000e-18 
               438 -1.308109356301e-18 -1.306164530351e-18 -1.295352116918e-18 -1.255704730185e-18 -1.228369428853e-18 -1.273340599106e-18 -1.312490614821e-18 -1.327104000000e-18 
               439 -1.308109356301e-18 -1.306164329202e-18 -1.295352062910e-18 -1.255705792593e-18 -1.228369015256e-18 -1.273342349906e-18 -1.312491618281e-18 -1.327104000000e-18 
               440 -1.308109356301e-18 -1.306164311060e-18 -1.295352179760e-18 -1.255707763586e-18 -1.228369382363e-18 -1.273342841911e-18 -1.312491860991e-18 -1.327104000000e-18 
               441 -1.308109356301e-18 -1.306164298056e-18 -1.295352199760e-18 -1.255708533872e-18 -1.228369436727e-18 -1.273342988209e-18 -1.312491937064e-18 -1.327104000000e-18 
               442 -1.308109356301e-18 -1.306164285575e-18 -1.295352204828e-18 -1.255708722775e-18 -1.228369435781e-18 -1.273343112275e-18 -1.312492006041e-18 -1.327104000000e-18 
               443 -1.308109356301e-18 -1.306164268874e-18 -1.295352210975e-18 -1.255708967851e-18 -1.228369432196e-18 -1.273343275914e-18 -1.312492097168e-18 -1.327104000000e-18 
               444 -1.308109356301e-18 -1.306164214391e-18 -1.295352230327e-18 -1.255709758555e-18 -1.228369417209e-18 -1.273343805570e-18 -1.312492392564e-18 -1.327104000000e-18 
               445 -1.308109356301e-18 -1.306164163629e-18 -1.295352248374e-18 -1.255710489151e-18 -1.228369403644e-18 -1.273344293076e-18 -1.312492664782e-18 -1.327104000000e-18 
               446 -1.308109356301e-18 -1.306164013758e-18 -1.295352301293e-18 -1.255712624490e-18 -1.228369361268e-18 -1.273345714449e-18 -1.312493459214e-18 -1.327104000000e-18 
