#               step           E_total_1           E_total_2           E_total_3           E_total_4           E_total_5           E_total_6           E_total_7           E_total_8 
#                                      J                   J                   J                   J                   J                   J                   J                   J 
                34 -1.308109356301e-18 -1.305278479511e-18 -1.295235823587e-18 -1.264710818824e-18 -1.224292806292e-18 -1.280110470820e-18 -1.315762387408e-18 -1.327104000000e-18 
                35 -1.308109356301e-18 -1.305277848999e-18 -1.295235498078e-18 -1.264711367809e-18 -1.224283165368e-18 -1.280104074657e-18 -1.315761435855e-18 -1.327104000000e-18 
                36 -1.308109356301e-18 -1.305153356663e-18 -1.295156834491e-18 -1.264745323625e-18 -1.223043553003e-18 -1.279246942606e-18 -1.315624501705e-18 -1.327104000000e-18 
                37 -1.308109356301e-18 -1.305117253073e-18 -1.295075683653e-18 -1.262835866267e-18 -1.222604871192e-18 -1.278894780658e-18 -1.315620915141e-18 -1.327104000000e-18 
                38 -1.308109356301e-18 -1.305132705154e-18 -1.295116383060e-18 -1.264621583939e-18 -1.222789429208e-18 -1.278961244550e-18 -1.315632029607e-18 -1.327104000000e-18 
                39 -1.308109356301e-18 -1.305135643697e-18 -1.295124628979e-18 -1.265168685498e-18 -1.222838769269e-18 -1.278975777953e-18 -1.315634427210e-18 -1.327104000000e-18 
                40 -1.308109356301e-18 -1.305135159289e-18 -1.295125394435e-18 -1.265211315397e-18 -1.222836034053e-18 -1.278971191469e-18 -1.315633293839e-18 -1.327104000000e-18 
                41 -1.308109356301e-18 -1.305134769363e-18 -1.295125250116e-18 -1.265217762814e-18 -1.222830655758e-18 -1.278966064414e-18 -1.315632291325e-18 -1.327104000000e-18 
                42 -1.308109356301e-18 -1.305134307047e-18 -1.295124918740e-18 -1.265219704969e-18 -1.222823578379e-18 -1.278959630755e-18 -1.315631063804e-18 -1.327104000000e-18 
                43 -1.308109356301e-18 -1.305132970845e-18 -1.295123924180e-18 -1.265224692364e-18 -1.222803020482e-18 -1.278940973290e-18 -1.315627445496e-18 -1.327104000000e-18 
                44 -1.308109356301e-18 -1.305120217849e-18 -1.295114641452e-18 -1.265265045193e-18 -1.222606784988e-18 -1.278761668397e-18 -1.315590438754e-18 -1.327104000000e-18 
                45 -1.308109356301e-18 -1.305118722442e-18 -1.295114282505e-18 -1.265267321053e-18 -1.222582286717e-18 -1.278737986607e-18 -1.315583830834e-18 -1.327104000000e-18 
                46 -1.308109356301e-18 -1.305117582252e-18 -1.295113853881e-18 -1.265262452900e-18 -1.222562709912e-18 -1.278719017248e-18 -1.315578545380e-18 -1.327104000000e-18 
                47 -1.308109356301e-18 -1.305117245667e-18 -1.295114032428e-18 -1.265274919094e-18 -1.222558059235e-18 -1.278714011909e-18 -1.315576954795e-18 -1.327104000000e-18 
                48 -1.308109356301e-18 -1.305116910510e-18 -1.295113970024e-18 -1.265276075407e-18 -1.222552426279e-18 -1.278708453860e-18 -1.315575345971e-18 -1.327104000000e-18 
                49 -1.308109356301e-18 -1.305116555291e-18 -1.295113897786e-18 -1.265276996119e-18 -1.222546429942e-18 -1.278702533387e-18 -1.315573629037e-18 -1.327104000000e-18 
                50 -1.308109356301e-18 -1.305099654535e-18 -1.295110205954e-18 -1.265312555909e-18 -1.222264080105e-18 -1.278420318004e-18 -1.315490543715e-18 -1.327104000000e-18 
                51 -1.308109356301e-18 -1.305099368009e-18 -1.295110371120e-18 -1.265317478054e-18 -1.222258219489e-18 -1.278413168466e-18 -1.315488065891e-18 -1.327104000000e-18 
                52 -1.308109356301e-18 -1.305098891599e-18 -1.295110467516e-18 -1.265319361395e-18 -1.222248465102e-18 -1.278401937548e-18 -1.315484213562e-18 -1.327104000000e-18 
                53 -1.308109356301e-18 -1.305098611255e-18 -1.295110528743e-18 -1.265320416483e-18 -1.222242653062e-18 -1.278395257327e-18 -1.315481917929e-18 -1.327104000000e-18 
                54 -1.308109356301e-18 -1.305095577546e-18 -1.295111173397e-18 -1.265329477376e-18 -1.222179364958e-18 -1.278322288649e-18 -1.315456820056e-18 -1.327104000000e-18 
                55 -1.308109356301e-18 -1.305095395836e-18 -1.295111283113e-18 -1.265331562626e-18 -1.222175471201e-18 -1.278317590556e-18 -1.315455159519e-18 -1.327104000000e-18 
                56 -1.308109356301e-18 -1.305095127064e-18 -1.295111400860e-18 -1.265332481364e-18 -1.222169460696e-18 -1.278310475344e-18 -1.315452680158e-18 -1.327104000000e-18 
                57 -1.308109356301e-18 -1.305094903378e-18 -1.295111504044e-18 -1.265333234001e-18 -1.222164426810e-18 -1.278304499507e-18 -1.315450595976e-18 -1.327104000000e-18 
                58 -1.308109356301e-18 -1.304711536076e-18 -1.295082454217e-18 -1.261533142137e-18 -1.213340645873e-18 -1.268165058153e-18 -1.311403029198e-18 -1.327104000000e-18 
                59 -1.308109356301e-18 -1.304724575531e-18 -1.295134622975e-18 -1.262868875978e-18 -1.216153421056e-18 -1.268343770095e-18 -1.311430221122e-18 -1.327104000000e-18 
                60 -1.308109356301e-18 -1.304735634867e-18 -1.295099519140e-18 -1.260368106728e-18 -1.216244213796e-18 -1.268301851291e-18 -1.311441837840e-18 -1.327104000000e-18 
                61 -1.308109356301e-18 -1.304739215636e-18 -1.295178129000e-18 -1.263694505884e-18 -1.217149385909e-18 -1.268510585931e-18 -1.311461121857e-18 -1.327104000000e-18 
                62 -1.308109356301e-18 -1.304741970572e-18 -1.295185214817e-18 -1.263775291394e-18 -1.217271283840e-18 -1.268536908272e-18 -1.311466722746e-18 -1.327104000000e-18 
                63 -1.308109356301e-18 -1.304744839531e-18 -1.295191098315e-18 -1.263784532693e-18 -1.217347989549e-18 -1.268560367361e-18 -1.311472330812e-18 -1.327104000000e-18 
                64 -1.308109356301e-18 -1.304769096423e-18 -1.295240298455e-18 -1.263800846400e-18 -1.217734630292e-18 -1.268742540667e-18 -1.311518506277e-18 -1.327104000000e-18 
                65 -1.308109356301e-18 -1.304780696668e-18 -1.295263697778e-18 -1.263798416465e-18 -1.217834149021e-18 -1.268824677577e-18 -1.311540402410e-18 -1.327104000000e-18 
                66 -1.308109356301e-18 -1.304791303141e-18 -1.295284232373e-18 -1.263746940333e-18 -1.217875361672e-18 -1.268895826785e-18 -1.311560146757e-18 -1.327104000000e-18 
                67 -1.308109356301e-18 -1.304795215320e-18 -1.295293076796e-18 -1.263806108081e-18 -1.218039864784e-18 -1.268923618251e-18 -1.311567341276e-18 -1.327104000000e-18 
                68 -1.308109356301e-18 -1.304798775844e-18 -1.295300558713e-18 -1.263820492632e-18 -1.218078864012e-18 -1.268947743916e-18 -1.311573990016e-18 -1.327104000000e-18 
                69 -1.308109356301e-18 -1.304801122102e-18 -1.295305417142e-18 -1.263825764412e-18 -1.218102520936e-18 -1.268963421575e-18 -1.311578355854e-18 -1.327104000000e-18 
                70 -1.308109356301e-18 -1.304811032793e-18 -1.295325480517e-18 -1.263822663659e-18 -1.218199586962e-18 -1.269028152676e-18 -1.311596522655e-18 -1.327104000000e-18 
                71 -1.308109356301e-18 -1.304828179182e-18 -1.295360076270e-18 -1.263812819425e-18 -1.218365357559e-18 -1.269137776648e-18 -1.311627416626e-18 -1.327104000000e-18 
                72 -1.308109356301e-18 -1.305113234461e-18 -1.295118202826e-18 -1.220111724204e-18 -1.216719872250e-18 -1.269642748149e-18 -1.311862198221e-18 -1.327104000000e-18 
                73 -1.308109356301e-18 -1.305118541788e-18 -1.295999487766e-18 -1.265538692045e-18 -1.220996477262e-18 -1.270589750768e-18 -1.311955305090e-18 -1.327104000000e-18 
                74 -1.308109356301e-18 -1.305120279104e-18 -1.296005467676e-18 -1.265625639859e-18 -1.221305139645e-18 -1.270613664131e-18 -1.311959434999e-18 -1.327104000000e-18 
                75 -1.308109356301e-18 -1.305122315814e-18 -1.296010091385e-18 -1.265637623391e-18 -1.221420256584e-18 -1.270634550117e-18 -1.311964551929e-18 -1.327104000000e-18 
                76 -1.308109356301e-18 -1.305125726541e-18 -1.296018008006e-18 -1.265605461049e-18 -1.221481590421e-18 -1.270666973564e-18 -1.311973358594e-18 -1.327104000000e-18 
                77 -1.308109356301e-18 -1.305128906976e-18 -1.296025466457e-18 -1.265566660580e-18 -1.221529223490e-18 -1.270695379606e-18 -1.311981404001e-18 -1.327104000000e-18 
                78 -1.308109356301e-18 -1.305160676046e-18 -1.296071046358e-18 -1.264707279187e-18 -1.221789297038e-18 -1.270820734517e-18 -1.312045814731e-18 -1.327104000000e-18 
                79 -1.308109356301e-18 -1.305162174661e-18 -1.296103202507e-18 -1.265057664836e-18 -1.221912217770e-18 -1.270941441295e-18 -1.312060185400e-18 -1.327104000000e-18 
                80 -1.308109356301e-18 -1.305163229654e-18 -1.296107835180e-18 -1.265071175082e-18 -1.221931875924e-18 -1.270956911075e-18 -1.312063322221e-18 -1.327104000000e-18 
                81 -1.308109356301e-18 -1.305164219386e-18 -1.296110194029e-18 -1.265056722441e-18 -1.221945125544e-18 -1.270963693604e-18 -1.312065427122e-18 -1.327104000000e-18 
                82 -1.308109356301e-18 -1.305198811248e-18 -1.296191159257e-18 -1.264388753849e-18 -1.222269978159e-18 -1.271172487188e-18 -1.312133427395e-18 -1.327104000000e-18 
                83 -1.308109356301e-18 -1.305204352099e-18 -1.296200241923e-18 -1.264287321268e-18 -1.222291165980e-18 -1.271200735857e-18 -1.312143728150e-18 -1.327104000000e-18 
                84 -1.308109356301e-18 -1.305207813643e-18 -1.296206197094e-18 -1.264199251077e-18 -1.222309657426e-18 -1.271218204942e-18 -1.312149870247e-18 -1.327104000000e-18 
                85 -1.308109356301e-18 -1.305209793577e-18 -1.296209834762e-18 -1.264228321652e-18 -1.222491013093e-18 -1.271232960573e-18 -1.312153023796e-18 -1.327104000000e-18 
                86 -1.308109356301e-18 -1.305211399505e-18 -1.296212645459e-18 -1.264199291621e-18 -1.222515305881e-18 -1.271241138990e-18 -1.312155761917e-18 -1.327104000000e-18 
                87 -1.308109356301e-18 -1.305212268383e-18 -1.296214271719e-18 -1.264189669954e-18 -1.222527985518e-18 -1.271245520140e-18 -1.312157265217e-18 -1.327104000000e-18 
                88 -1.308109356301e-18 -1.305214387771e-18 -1.296217869809e-18 -1.264145235887e-18 -1.222558034202e-18 -1.271255897414e-18 -1.312160778945e-18 -1.327104000000e-18 
                89 -1.308109356301e-18 -1.305215545273e-18 -1.296219811058e-18 -1.264120843686e-18 -1.222574527282e-18 -1.271261504128e-18 -1.312162669203e-18 -1.327104000000e-18 
                90 -1.308109356301e-18 -1.305312269875e-18 -1.296369513584e-18 -1.261559876771e-18 -1.223812540668e-18 -1.271551680847e-18 -1.312254728209e-18 -1.327104000000e-18 
                91 -1.308109356301e-18 -1.305313302534e-18 -1.296369199471e-18 -1.261535846278e-18 -1.223835882416e-18 -1.271552915274e-18 -1.312254070611e-18 -1.327104000000e-18 
                92 -1.308109356301e-18 -1.305313847074e-18 -1.296374758034e-18 -1.261765095227e-18 -1.223857687368e-18 -1.271555376375e-18 -1.312254371511e-18 -1.327104000000e-18 
                93 -1.308109356301e-18 -1.305314345220e-18 -1.296374554227e-18 -1.261751013288e-18 -1.223867616461e-18 -1.271555706823e-18 -1.312254008254e-18 -1.327104000000e-18 
                94 -1.308109356301e-18 -1.305319679364e-18 -1.296371653829e-18 -1.261573363448e-18 -1.223965945219e-18 -1.271556253869e-18 -1.312249428320e-18 -1.327104000000e-18 
                95 -1.308109356301e-18 -1.305325541522e-18 -1.296365478360e-18 -1.261347752898e-18 -1.224068533211e-18 -1.271552554697e-18 -1.312242612291e-18 -1.327104000000e-18 
                96 -1.308109356301e-18 -1.305380948811e-18 -1.295915412786e-18 -1.228181501120e-18 -1.216097789049e-18 -1.270054871556e-18 -1.312062802006e-18 -1.327104000000e-18 
                97 -1.308109356301e-18 -1.305381820427e-18 -1.296286120531e-18 -1.260297663370e-18 -1.224669781996e-18 -1.271410167620e-18 -1.312106918618e-18 -1.327104000000e-18 
                98 -1.308109356301e-18 -1.305382210841e-18 -1.296289338530e-18 -1.260498409101e-18 -1.224986295630e-18 -1.271423390261e-18 -1.312106630470e-18 -1.327104000000e-18 
                99 -1.308109356301e-18 -1.305382563259e-18 -1.296288268189e-18 -1.260492928679e-18 -1.225090654244e-18 -1.271423798773e-18 -1.312105017067e-18 -1.327104000000e-18 
               100 -1.308109356301e-18 -1.305383450479e-18 -1.296284955085e-18 -1.260440750774e-18 -1.225186525518e-18 -1.271421651550e-18 -1.312100689174e-18 -1.327104000000e-18 
               101 -1.308109356301e-18 -1.305384357290e-18 -1.296281362428e-18 -1.260371182840e-18 -1.225209912566e-18 -1.271417689822e-18 -1.312096144001e-18 -1.327104000000e-18 
               102 -1.308109356301e-18 -1.305385631688e-18 -1.296273642264e-18 -1.260195301291e-18 -1.225224016006e-18 -1.271405562983e-18 -1.312089011277e-18 -1.327104000000e-18 
               103 -1.308109356301e-18 -1.305385935354e-18 -1.296275744696e-18 -1.260267670852e-18 -1.225242401810e-18 -1.271411376363e-18 -1.312088210273e-18 -1.327104000000e-18 
               104 -1.308109356301e-18 -1.305386221798e-18 -1.296274619735e-18 -1.260246049970e-18 -1.225247908498e-18 -1.271409974347e-18 -1.312086743925e-18 -1.327104000000e-18 
               105 -1.308109356301e-18 -1.305386691001e-18 -1.296272761249e-18 -1.260210525290e-18 -1.225256928608e-18 -1.271407643625e-18 -1.312084330301e-18 -1.327104000000e-18 
               106 -1.308109356301e-18 -1.305490271537e-18 -1.295796755658e-18 -1.251033577551e-18 -1.226476134742e-18 -1.270257364536e-18 -1.311267535596e-18 -1.327104000000e-18 
               107 -1.308109356301e-18 -1.305503633226e-18 -1.295678110553e-18 -1.249450443203e-18 -1.226078399139e-18 -1.270182873401e-18 -1.311249467897e-18 -1.327104000000e-18 
               108 -1.308109356301e-18 -1.305505239296e-18 -1.294051233762e-18 -1.188753951922e-18 -1.220218948738e-18 -1.269205446173e-18 -1.310568227695e-18 -1.327104000000e-18 
               109 -1.308109356301e-18 -1.305508843985e-18 -1.295775820359e-18 -1.254159116213e-18 -1.227112281459e-18 -1.270317450556e-18 -1.311277824676e-18 -1.327104000000e-18 
               110 -1.308109356301e-18 -1.305509572235e-18 -1.295780104596e-18 -1.254644366191e-18 -1.227396698888e-18 -1.270338579997e-18 -1.311280686343e-18 -1.327104000000e-18 
               111 -1.308109356301e-18 -1.305510413980e-18 -1.295775462849e-18 -1.254703055418e-18 -1.227482004751e-18 -1.270345755124e-18 -1.311280317652e-18 -1.327104000000e-18 
               112 -1.308109356301e-18 -1.305512025921e-18 -1.295765790309e-18 -1.254707215881e-18 -1.227510746637e-18 -1.270353735743e-18 -1.311279443285e-18 -1.327104000000e-18 
               113 -1.308109356301e-18 -1.305513712840e-18 -1.295755603093e-18 -1.254683903600e-18 -1.227514929652e-18 -1.270360723062e-18 -1.311278520962e-18 -1.327104000000e-18 
               114 -1.308109356301e-18 -1.305519078893e-18 -1.295722333877e-18 -1.254561463636e-18 -1.227518470377e-18 -1.270381591462e-18 -1.311275457924e-18 -1.327104000000e-18 
               115 -1.308109356301e-18 -1.305519998737e-18 -1.295717435575e-18 -1.254556793281e-18 -1.227520642452e-18 -1.270385526735e-18 -1.311275206973e-18 -1.327104000000e-18 
               116 -1.308109356301e-18 -1.305520678516e-18 -1.295713515462e-18 -1.254545751074e-18 -1.227521704434e-18 -1.270388308060e-18 -1.311274963878e-18 -1.327104000000e-18 
               117 -1.308109356301e-18 -1.305521293300e-18 -1.295709793058e-18 -1.254531631633e-18 -1.227522496940e-18 -1.270390771206e-18 -1.311274716989e-18 -1.327104000000e-18 
               118 -1.308109356301e-18 -1.305534897320e-18 -1.295626584216e-18 -1.254210727022e-18 -1.227537257227e-18 -1.270444854234e-18 -1.311269271225e-18 -1.327104000000e-18 
               119 -1.308109356301e-18 -1.305541454345e-18 -1.295584495561e-18 -1.254061314458e-18 -1.227549998788e-18 -1.270473686138e-18 -1.311268924776e-18 -1.327104000000e-18 
               120 -1.308109356301e-18 -1.305552290640e-18 -1.295508219744e-18 -1.253635188624e-18 -1.227467000916e-18 -1.270517396815e-18 -1.311269719332e-18 -1.327104000000e-18 
