#               time            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
             3.6e-10  1.21202340677e-18  2.71732745302e-18   3.9293508598e-18    -0.200644353692     0.182413946483    0.0202614176935  1.31072841469e-09      1578232578.34               1541                 36 
             3.7e-10  1.22001253072e-18  2.71787894138e-18   3.9378914721e-18     -0.20802141055     0.181578667334    0.0200547126697  1.27446408982e-09      1578232578.39               1568                 37 
             3.8e-10  1.22822891436e-18  2.71806191995e-18  3.94629083431e-18    -0.215205882933     0.180403317426    0.0198961325712   1.2419291151e-09      1578232578.45               1596                 38 
             3.9e-10  1.23674066257e-18  2.71776380714e-18   3.9545044697e-18    -0.222175172671      0.17880539637    0.0197831183348   1.2001355465e-09       1578232578.5               1623                 39 
               4e-10  1.24541211849e-18  2.71707232705e-18  3.96248444554e-18    -0.228944321192     0.176729755647    0.0196961205671   1.1513429099e-09      1578232578.56               1651                 40 
             4.1e-10  1.25397441776e-18  2.71621583061e-18  3.97019024837e-18    -0.235552344776      0.17417108571    0.0196081641312  1.12533793395e-09      1578232578.62               1681                 41 
             4.2e-10  1.26215864242e-18  2.71543761483e-18  3.97759625725e-18    -0.242039959328      0.17117825982     0.019495846257  1.19779386409e-09      1578232578.67               1717                 42 
             4.3e-10  1.26979584415e-18  2.71489747735e-18   3.9846933215e-18    -0.248429166869     0.167839907681    0.0193477398915  9.18658926707e-10      1578232578.74               1767                 43 
             4.4e-10  1.27683480364e-18  2.71464960728e-18  3.99148441092e-18    -0.254713268429      0.16425832301    0.0191673793619  9.11596353959e-10       1578232578.8               1821                 44 
             4.5e-10  1.28331051631e-18  2.71466553708e-18  3.99797605339e-18    -0.260859404112     0.160522105845    0.0189705330158  6.89784562802e-10      1578232578.87               1875                 45 
             4.6e-10  1.28931497637e-18  2.71485364022e-18  4.00416861659e-18    -0.266819413898     0.156686448197    0.0187790688277  6.61854238082e-10      1578232578.95               1929                 46 
             4.7e-10  1.29498263051e-18  2.71506657418e-18  4.01004920469e-18    -0.272542345482      0.15276558937    0.0186144214808    5.795540714e-10      1578232579.02               1981                 47 
             4.8e-10  1.30047102798e-18  2.71511929542e-18   4.0155903234e-18     -0.27798365988     0.148737309667    0.0184924113247  5.72913272379e-10      1578232579.08               2035                 48 
             4.9e-10  1.30592122595e-18  2.71483430829e-18  4.02075553424e-18    -0.283109785116     0.144556133535    0.0184197760444  5.83366688289e-10      1578232579.16               2089                 49 
               5e-10  1.31140710243e-18  2.71410348354e-18  4.02551058598e-18    -0.287899339966     0.140170308327    0.0183925502038  5.21737208992e-10      1578232579.25               2143                 50 
             5.1e-10  1.31690113281e-18   2.7129346112e-18    4.029835744e-18    -0.292342978446     0.135537193032    0.0183967733258  4.94485563607e-10      1578232579.34               2197                 51 
             5.2e-10  1.32227836901e-18  2.71145536565e-18  4.03373373466e-18    -0.296443175721     0.130632659281    0.0184117424107  5.06726771654e-10      1578232579.42               2251                 52 
             5.3e-10  1.32735633863e-18  2.70987304914e-18  4.03722938776e-18    -0.300214415562      0.12545278382    0.0184151018031  4.69168814909e-10       1578232579.5               2305                 53 
             5.4e-10  1.33194940115e-18  2.70841166137e-18  4.04036106252e-18    -0.303683376663     0.120009608642    0.0183883669573  4.25223412037e-10      1578232579.58               2359                 54 
             5.5e-10  1.33591536865e-18  2.70725211345e-18   4.0431674821e-18    -0.306887776677     0.114325081799    0.0183215041612  4.34836833207e-10      1578232579.66               2411                 55 
             5.6e-10  1.33918422294e-18  2.70649040171e-18  4.04567462465e-18    -0.309871954329     0.108427035719    0.0182156135293  4.18654000356e-10      1578232579.74               2465                 56 
