#             steps          E_total_1          E_total_2          E_total_3          E_total_4          E_total_5          E_total_6          E_total_7          E_total_8 
#                <>                <J>                <J>                <J>                <J>                <J>                <J>                <J>                <J> 
               330 -1.308109356292e-18 -1.305115315771e-18 -1.295191462767e-18 -1.263224708126e-18 -1.220504620791e-18 -1.274824110894e-18 -1.314041418622e-18 -1.327104000000e-18 
               340 -1.308109356292e-18 -1.305104942030e-18 -1.295145643152e-18 -1.262952401597e-18 -1.220605882647e-18 -1.274780263871e-18 -1.314009358665e-18 -1.327104000000e-18 
               350 -1.308109356292e-18 -1.305093439145e-18 -1.295094848558e-18 -1.262647528603e-18 -1.220712500258e-18 -1.274731429029e-18 -1.313974364693e-18 -1.327104000000e-18 
               360 -1.308109356292e-18 -1.305080876287e-18 -1.295039274886e-18 -1.262310812395e-18 -1.220823390569e-18 -1.274677250532e-18 -1.313936668852e-18 -1.327104000000e-18 
               370 -1.308109356292e-18 -1.305067113972e-18 -1.294978328719e-18 -1.261937228344e-18 -1.220938442450e-18 -1.274617329287e-18 -1.313895670850e-18 -1.327104000000e-18 
               380 -1.308109356292e-18 -1.305051850921e-18 -1.294910622666e-18 -1.261517065573e-18 -1.221058865521e-18 -1.274550205580e-18 -1.313850396262e-18 -1.327104000000e-18 
               390 -1.308109356292e-18 -1.305041915416e-18 -1.294880288000e-18 -1.261501465796e-18 -1.221432027727e-18 -1.274613916429e-18 -1.313836549397e-18 -1.327104000000e-18 
               400 -1.308109356292e-18 -1.305034232394e-18 -1.294860907941e-18 -1.261530205628e-18 -1.221844222202e-18 -1.274708276301e-18 -1.313831341387e-18 -1.327104000000e-18 
               410 -1.308109356292e-18 -1.305025966014e-18 -1.294837620974e-18 -1.261529255967e-18 -1.222254575521e-18 -1.274798548847e-18 -1.313824282028e-18 -1.327104000000e-18 
               420 -1.308109356292e-18 -1.305016951214e-18 -1.294810177774e-18 -1.261499400043e-18 -1.222655342582e-18 -1.274882691747e-18 -1.313815215523e-18 -1.327104000000e-18 
               430 -1.308109356292e-18 -1.305007218722e-18 -1.294778991536e-18 -1.261442516947e-18 -1.223043931806e-18 -1.274959330061e-18 -1.313804026005e-18 -1.327104000000e-18 
               440 -1.308109356292e-18 -1.304996580689e-18 -1.294743540547e-18 -1.261357238827e-18 -1.223428280772e-18 -1.275029396514e-18 -1.313790394230e-18 -1.327104000000e-18 
               450 -1.308109356292e-18 -1.304985258969e-18 -1.294704539463e-18 -1.261244214578e-18 -1.223801056309e-18 -1.275091379687e-18 -1.313774491481e-18 -1.327104000000e-18 
               460 -1.308109356292e-18 -1.304973508210e-18 -1.294662810221e-18 -1.261105668326e-18 -1.224156735946e-18 -1.275144608381e-18 -1.313756659598e-18 -1.327104000000e-18 
