#               step          distance_1          distance_2          distance_3          distance_4          distance_5          distance_6          distance_7 
#                                                                                                                                                                
               361 +6.973925689872e+00 +6.975454941929e+00 +6.974559322985e+00 +6.971708818342e+00 +6.971597691152e+00 +6.974356946009e+00 +6.976770534237e+00 
               362 +6.973921646298e+00 +6.975451352784e+00 +6.974555321194e+00 +6.971710151958e+00 +6.971597497643e+00 +6.974349509811e+00 +6.976757578476e+00 
               363 +6.973912158112e+00 +6.975442930630e+00 +6.974546026287e+00 +6.971712793502e+00 +6.971597128172e+00 +6.974332201153e+00 +6.976727404937e+00 
               364 +6.973894950315e+00 +6.975427655184e+00 +6.974529546128e+00 +6.971717231369e+00 +6.971596784614e+00 +6.974301393962e+00 +6.976673623010e+00 
               365 +6.973267758170e+00 +6.974872124446e+00 +6.973950999628e+00 +6.971902917887e+00 +6.971602531486e+00 +6.973215277158e+00 +6.974771955106e+00 
               366 +6.973259564372e+00 +6.974864914351e+00 +6.973947781642e+00 +6.971891733249e+00 +6.971606402859e+00 +6.973210622580e+00 +6.974762193498e+00 
               367 +6.973252190114e+00 +6.974858505237e+00 +6.973945307288e+00 +6.971891871911e+00 +6.971609776395e+00 +6.973206510030e+00 +6.974753489975e+00 
               368 +6.973244881989e+00 +6.974852172118e+00 +6.973942807444e+00 +6.971893221034e+00 +6.971612995396e+00 +6.973202476083e+00 +6.974744905963e+00 
               369 +6.973113464174e+00 +6.974738597018e+00 +6.973896890943e+00 +6.971922152668e+00 +6.971668967308e+00 +6.973130674760e+00 +6.974591278170e+00 
               370 +6.973013457814e+00 +6.974655993482e+00 +6.973849412721e+00 +6.971954057919e+00 +6.971687841502e+00 +6.973084993027e+00 +6.974483907524e+00 
               371 +6.972959767542e+00 +6.974612210002e+00 +6.973825534264e+00 +6.971891709150e+00 +6.971699807486e+00 +6.973061974637e+00 +6.974429619142e+00 
               372 +6.972949030098e+00 +6.974603486607e+00 +6.973820689012e+00 +6.971956836733e+00 +6.971701446525e+00 +6.973057515528e+00 +6.974419087519e+00 
               373 +6.972938335233e+00 +6.974594823921e+00 +6.973815890806e+00 +6.971954599555e+00 +6.971703734061e+00 +6.973053125408e+00 +6.974408663267e+00 
               374 +6.972929428152e+00 +6.974587615769e+00 +6.973811937460e+00 +6.971955695086e+00 +6.971705578159e+00 +6.973049495257e+00 +6.974400033119e+00 
               375 +6.972876278263e+00 +6.974544637638e+00 +6.973788392876e+00 +6.971963538239e+00 +6.971716515392e+00 +6.973027960308e+00 +6.974348788570e+00 
               376 +6.972865444704e+00 +6.974535917831e+00 +6.973783620216e+00 +6.971965721948e+00 +6.971718692626e+00 +6.973023722728e+00 +6.974338646965e+00 
               377 +6.972804197571e+00 +6.974486663369e+00 +6.973756606504e+00 +6.971975937284e+00 +6.971731025922e+00 +6.972999932747e+00 +6.974281646293e+00 
               378 +6.972795875827e+00 +6.974480002076e+00 +6.973752946892e+00 +6.971976890991e+00 +6.971732685526e+00 +6.972996826685e+00 +6.974274154824e+00 
               379 +6.972780476119e+00 +6.974467682025e+00 +6.973746188842e+00 +6.971978997157e+00 +6.971735742059e+00 +6.972991108983e+00 +6.974260352365e+00 
               380 +6.972770066490e+00 +6.974459362607e+00 +6.973741631048e+00 +6.971980570600e+00 +6.971737796486e+00 +6.972987281428e+00 +6.974251097885e+00 
               381 +6.971221074171e+00 +6.973222263526e+00 +6.973063951482e+00 +6.972211269706e+00 +6.972043121328e+00 +6.972421259848e+00 +6.972881000662e+00 
               382 +6.971187547457e+00 +6.973197661781e+00 +6.973050895473e+00 +6.972211549123e+00 +6.972047924890e+00 +6.972418857433e+00 +6.972871235250e+00 
               383 +6.971177659408e+00 +6.973190388659e+00 +6.973047047324e+00 +6.972212243772e+00 +6.972049310028e+00 +6.972418162256e+00 +6.972868392798e+00 
               384 +6.971168184177e+00 +6.973183421579e+00 +6.973043425548e+00 +6.972212719886e+00 +6.972050654816e+00 +6.972417502375e+00 +6.972865679811e+00 
               385 +6.971125646406e+00 +6.973152131881e+00 +6.973027191053e+00 +6.972214527555e+00 +6.972056695356e+00 +6.972414557982e+00 +6.972853545859e+00 
               386 +6.971070012485e+00 +6.973111141672e+00 +6.973006112980e+00 +6.972215994338e+00 +6.972064590710e+00 +6.972410813934e+00 +6.972837944467e+00 
               387 +6.964524949989e+00 +6.968271577640e+00 +6.970548514109e+00 +6.972560127984e+00 +6.972987460234e+00 +6.971987328569e+00 +6.971040860646e+00 
               388 +6.964509134564e+00 +6.968257774269e+00 +6.970546209770e+00 +6.972411870880e+00 +6.972989020933e+00 +6.971991422059e+00 +6.971049217289e+00 
               389 +6.964494982737e+00 +6.968245504677e+00 +6.970545993613e+00 +6.972412164537e+00 +6.972987907366e+00 +6.971995250781e+00 +6.971056729038e+00 
               390 +6.964484261518e+00 +6.968236282103e+00 +6.970545598611e+00 +6.972409180707e+00 +6.972986990625e+00 +6.971998168508e+00 +6.971062435996e+00 
               391 +6.964469444455e+00 +6.968223607639e+00 +6.970544913578e+00 +6.972402961756e+00 +6.972985566044e+00 +6.972002214566e+00 +6.971070338710e+00 
               392 +6.964452125103e+00 +6.968208904030e+00 +6.970543888003e+00 +6.972395561919e+00 +6.972983633075e+00 +6.972006962311e+00 +6.971079599270e+00 
               393 +6.964157225045e+00 +6.967960634442e+00 +6.970522126071e+00 +6.972266653081e+00 +6.972945632895e+00 +6.972088158527e+00 +6.971237770556e+00 
               394 +6.964126022962e+00 +6.967938137756e+00 +6.970511799380e+00 +6.972251359342e+00 +6.972932492985e+00 +6.972097126816e+00 +6.971255275132e+00 
               395 +6.964116417808e+00 +6.967931196893e+00 +6.970508532947e+00 +6.972244894717e+00 +6.972928457784e+00 +6.972099811681e+00 +6.971260652257e+00 
               396 +6.964107676964e+00 +6.967924882425e+00 +6.970505556344e+00 +6.972240235586e+00 +6.972924792633e+00 +6.972102236203e+00 +6.971265549958e+00 
               397 +6.964088528811e+00 +6.967911045004e+00 +6.970499004077e+00 +6.972229832242e+00 +6.972916762539e+00 +6.972107506502e+00 +6.971276275281e+00 
               398 +6.964067115974e+00 +6.967895560506e+00 +6.970491596766e+00 +6.972218124912e+00 +6.972907777998e+00 +6.972113298748e+00 +6.971288258440e+00 
               399 +6.963266452023e+00 +6.967316017765e+00 +6.970211265627e+00 +6.971778796886e+00 +6.972571123709e+00 +6.972325805618e+00 +6.971736142736e+00 
               400 +6.963258771722e+00 +6.967310308152e+00 +6.970207090030e+00 +6.971772946434e+00 +6.972567492327e+00 +6.972325935462e+00 +6.971740173296e+00 
               401 +6.963252327435e+00 +6.967305532396e+00 +6.970203653909e+00 +6.971768394225e+00 +6.972564403551e+00 +6.972326033211e+00 +6.971743546361e+00 
               402 +6.963245931135e+00 +6.967300798213e+00 +6.970200254480e+00 +6.971763831315e+00 +6.972561293987e+00 +6.972326119292e+00 +6.971746884986e+00 
               403 +6.963013429552e+00 +6.967128885792e+00 +6.970076952470e+00 +6.971596837992e+00 +6.972446683242e+00 +6.972328902717e+00 +6.971867964728e+00 
               404 +6.962913985872e+00 +6.967058360020e+00 +6.970027941192e+00 +6.971508393662e+00 +6.972372211504e+00 +6.972323541233e+00 +6.971914103212e+00 
               405 +6.962755508613e+00 +6.966942761842e+00 +6.969941962711e+00 +6.971369980711e+00 +6.972252874511e+00 +6.972312885063e+00 +6.971985258067e+00 
               406 +6.962749384233e+00 +6.966938182685e+00 +6.969938267123e+00 +6.971366297344e+00 +6.972247741025e+00 +6.972312042059e+00 +6.971987645814e+00 
               407 +6.962743375222e+00 +6.966933695193e+00 +6.969934644354e+00 +6.971361601520e+00 +6.972242762049e+00 +6.972311206148e+00 +6.971989991151e+00 
               408 +6.962736974806e+00 +6.966928913962e+00 +6.969930788890e+00 +6.971355420549e+00 +6.972237470944e+00 +6.972310302519e+00 +6.971992477201e+00 
               409 +6.962612858718e+00 +6.966836148525e+00 +6.969856110076e+00 +6.971230343209e+00 +6.972134805121e+00 +6.972292498349e+00 +6.972040444666e+00 
               410 +6.962597026141e+00 +6.966824220034e+00 +6.969846746557e+00 +6.971214151381e+00 +6.972121308553e+00 +6.972289496689e+00 +6.972045903236e+00 
               411 +6.962579320647e+00 +6.966810856338e+00 +6.969835939917e+00 +6.971202935150e+00 +6.972105785380e+00 +6.972286007538e+00 +6.972051893871e+00 
               412 +6.962573408525e+00 +6.966806386058e+00 +6.969832245149e+00 +6.971195373641e+00 +6.972100556973e+00 +6.972284793398e+00 +6.972053851296e+00 
               413 +6.962566666274e+00 +6.966801284757e+00 +6.969828031548e+00 +6.971188261321e+00 +6.972094545494e+00 +6.972283390826e+00 +6.972056067175e+00 
               414 +6.962561037775e+00 +6.966797023029e+00 +6.969824503516e+00 +6.971182656011e+00 +6.972089496849e+00 +6.972282202561e+00 +6.972057901313e+00 
               415 +6.962089725171e+00 +6.966439707474e+00 +6.969527930422e+00 +6.970713621377e+00 +6.971664680902e+00 +6.972181405107e+00 +6.972210533509e+00 
               416 +6.962080041497e+00 +6.966431945334e+00 +6.969519988151e+00 +6.970700283340e+00 +6.971652659058e+00 +6.972176828586e+00 +6.972211402367e+00 
               417 +6.962071221335e+00 +6.966424872731e+00 +6.969512791294e+00 +6.970686032805e+00 +6.971641873700e+00 +6.972172612310e+00 +6.972212144374e+00 
               418 +6.962066934173e+00 +6.966421432434e+00 +6.969509318945e+00 +6.970680091726e+00 +6.971636648194e+00 +6.972170541859e+00 +6.972212482732e+00 
               419 +6.962060378077e+00 +6.966416169481e+00 +6.969504017370e+00 +6.970670997213e+00 +6.971628668413e+00 +6.972167359566e+00 +6.972212983351e+00 
               420 +6.962040858546e+00 +6.966400489868e+00 +6.969488262458e+00 +6.970644246778e+00 +6.971604937054e+00 +6.972157810505e+00 +6.972214396690e+00 
               421 +6.961056459926e+00 +6.965606387004e+00 +6.968694691047e+00 +6.969356330797e+00 +6.970405635273e+00 +6.971663720684e+00 +6.972274134351e+00 
               422 +6.961052396568e+00 +6.965602570507e+00 +6.968690806340e+00 +6.969355047283e+00 +6.970398578920e+00 +6.971658046790e+00 +6.972270617573e+00 
               423 +6.961049443757e+00 +6.965599793326e+00 +6.968687852180e+00 +6.969353038498e+00 +6.970393300430e+00 +6.971653904704e+00 +6.972268040676e+00 
               424 +6.961046607833e+00 +6.965597122420e+00 +6.968684931918e+00 +6.969350595828e+00 +6.970388142154e+00 +6.971649913809e+00 +6.972265551467e+00 
               425 +6.961011148332e+00 +6.965563674742e+00 +6.968647423725e+00 +6.969314858363e+00 +6.970322692223e+00 +6.971599870266e+00 +6.972234261439e+00 
               426 +6.960980006345e+00 +6.965533775138e+00 +6.968604528665e+00 +6.969234598239e+00 +6.970256142256e+00 +6.971554286842e+00 +6.972204952874e+00 
               427 +6.960857286249e+00 +6.965415660158e+00 +6.968446134663e+00 +6.969052064843e+00 +6.970013597834e+00 +6.971372116913e+00 +6.972085156196e+00 
               428 +6.960854336731e+00 +6.965412742250e+00 +6.968441721871e+00 +6.969037019829e+00 +6.970006703738e+00 +6.971367516479e+00 +6.972081919933e+00 
               429 +6.960851510825e+00 +6.965409963316e+00 +6.968437723068e+00 +6.969025083964e+00 +6.970000263477e+00 +6.971363117980e+00 +6.972078813599e+00 
               430 +6.960847977334e+00 +6.965406489695e+00 +6.968432770870e+00 +6.969011962649e+00 +6.969992348833e+00 +6.971357618649e+00 +6.972074921815e+00 
               431 +6.960823586757e+00 +6.965382519012e+00 +6.968398900986e+00 +6.968931868209e+00 +6.969938770336e+00 +6.971319649685e+00 +6.972047988735e+00 
               432 +6.960807697700e+00 +6.965366939633e+00 +6.968377883929e+00 +6.968911529000e+00 +6.969907826037e+00 +6.971294870805e+00 +6.972030149058e+00 
               433 +6.960771127810e+00 +6.965331028484e+00 +6.968329062839e+00 +6.968832475781e+00 +6.969835044715e+00 +6.971237624319e+00 +6.971988653747e+00 
               434 +6.960766643154e+00 +6.965326592638e+00 +6.968323186975e+00 +6.968833652583e+00 +6.969825860589e+00 +6.971230579314e+00 +6.971983446140e+00 
               435 +6.960762191819e+00 +6.965322202347e+00 +6.968317247685e+00 +6.968825450010e+00 +6.969816958157e+00 +6.971223574770e+00 +6.971978265145e+00 
               436 +6.960759343074e+00 +6.965319393085e+00 +6.968313442135e+00 +6.968819983021e+00 +6.969811280963e+00 +6.971219087649e+00 +6.971974940958e+00 
               437 +6.960751379720e+00 +6.965311538853e+00 +6.968302802515e+00 +6.968804794145e+00 +6.969795427170e+00 +6.971206538730e+00 +6.971965633192e+00 
               438 +6.960748866867e+00 +6.965309059341e+00 +6.968299444621e+00 +6.968800069694e+00 +6.969790436963e+00 +6.971202574720e+00 +6.971962682992e+00 
               439 +6.951770900957e+00 +6.955928271056e+00 +6.955573390934e+00 +6.950952338300e+00 +6.950938185779e+00 +6.956196410591e+00 +6.960769732548e+00 
               440 +6.951653403475e+00 +6.955827224940e+00 +6.955460401936e+00 +6.951204172583e+00 +6.950930241412e+00 +6.955966382911e+00 +6.960375644289e+00 
               441 +6.951641618601e+00 +6.955815748807e+00 +6.955434593711e+00 +6.951125841130e+00 +6.950924142234e+00 +6.955943108511e+00 +6.960338770836e+00 
               442 +6.951633501196e+00 +6.955808402028e+00 +6.955422370679e+00 +6.951111205013e+00 +6.950920737667e+00 +6.955928488933e+00 +6.960314043726e+00 
               443 +6.951625710514e+00 +6.955801555968e+00 +6.955413488245e+00 +6.951099992756e+00 +6.950918360007e+00 +6.955914711956e+00 +6.960290464148e+00 
               444 +6.951615258662e+00 +6.955792358170e+00 +6.955401920039e+00 +6.951088332924e+00 +6.950915495692e+00 +6.955896378276e+00 +6.960259001591e+00 
               445 +6.951581032162e+00 +6.955762199809e+00 +6.955365226546e+00 +6.951060583597e+00 +6.950907345692e+00 +6.955836896993e+00 +6.960156699347e+00 
               446 +6.951548733939e+00 +6.955733663408e+00 +6.955333286388e+00 +6.951055860326e+00 +6.950902610165e+00 +6.955782285534e+00 +6.960062348791e+00 
               447 +6.951452280106e+00 +6.955648319012e+00 +6.955240553555e+00 +6.951051578308e+00 +6.950890989861e+00 +6.955622936986e+00 +6.959786449072e+00 
               448 +6.951439168668e+00 +6.955636565859e+00 +6.955228753042e+00 +6.951054416933e+00 +6.950889909416e+00 +6.955602817411e+00 +6.959751165729e+00 
               449 +6.951426808838e+00 +6.955625519193e+00 +6.955217697247e+00 +6.951055423320e+00 +6.950889020987e+00 +6.955583965988e+00 +6.959718169397e+00 
               450 +6.951418361247e+00 +6.955617967459e+00 +6.955210157521e+00 +6.951056132094e+00 +6.950888428207e+00 +6.955571181309e+00 +6.959695781289e+00 
               451 +6.951391369029e+00 +6.955593826875e+00 +6.955186121422e+00 +6.951058407093e+00 +6.950886556178e+00 +6.955530555060e+00 +6.959624596948e+00 
               452 +6.951360969701e+00 +6.955566596003e+00 +6.955159262307e+00 +6.951060861225e+00 +6.950884530990e+00 +6.955485600462e+00 +6.959545674888e+00 
               453 +6.949179635059e+00 +6.953609410235e+00 +6.953254317387e+00 +6.951211976232e+00 +6.950748724935e+00 +6.952317038319e+00 +6.953970292314e+00 
               454 +6.949163471626e+00 +6.953593672372e+00 +6.953244395549e+00 +6.951212422578e+00 +6.950750679329e+00 +6.952312837165e+00 +6.953959325476e+00 
               455 +6.949149323053e+00 +6.953580077245e+00 +6.953237787533e+00 +6.951211761742e+00 +6.950752903632e+00 +6.952309305514e+00 +6.953949780979e+00 
               456 +6.949134894767e+00 +6.953566220337e+00 +6.953231124204e+00 +6.951211260568e+00 +6.950755198621e+00 +6.952305736310e+00 +6.953940086257e+00 
               457 +6.949081914876e+00 +6.953515363185e+00 +6.953206753991e+00 +6.951210077546e+00 +6.950763699217e+00 +6.952292708564e+00 +6.953904626588e+00 
               458 +6.949050866429e+00 +6.953485632813e+00 +6.953192650344e+00 +6.951210675162e+00 +6.950768837735e+00 +6.952285205525e+00 +6.953884141375e+00 
               459 +6.948907053824e+00 +6.953348212256e+00 +6.953127452453e+00 +6.951216014177e+00 +6.950792882200e+00 +6.952250648081e+00 +6.953790038169e+00 
               460 +6.948854382221e+00 +6.953298289112e+00 +6.953103497256e+00 +6.951220986630e+00 +6.950801688433e+00 +6.952238462247e+00 +6.953756887315e+00 
               461 +6.948524891083e+00 +6.952986960902e+00 +6.952954029851e+00 +6.951242105405e+00 +6.950855823846e+00 +6.952163079234e+00 +6.953552332820e+00 
               462 +6.948503235477e+00 +6.952966837630e+00 +6.952943788405e+00 +6.951244835234e+00 +6.950858855140e+00 +6.952158590171e+00 +6.953540028908e+00 
               463 +6.948483408740e+00 +6.952948460409e+00 +6.952934583426e+00 +6.951245792272e+00 +6.950861716707e+00 +6.952154469958e+00 +6.953528827793e+00 
               464 +6.948468644313e+00 +6.952934793327e+00 +6.952927762527e+00 +6.951246344751e+00 +6.950863854888e+00 +6.952151412508e+00 +6.953520527874e+00 
               465 +6.948419461093e+00 +6.952889302282e+00 +6.952905073852e+00 +6.951248121147e+00 +6.950870972133e+00 +6.952141263456e+00 +6.953492980160e+00 
               466 +6.948388467492e+00 +6.952860710834e+00 +6.952890814345e+00 +6.951249205395e+00 +6.950875432993e+00 +6.952134947569e+00 +6.953475832298e+00 
               467 +6.946380675517e+00 +6.951009573382e+00 +6.951966098545e+00 +6.951323135911e+00 +6.951162873505e+00 +6.951728935699e+00 +6.952372538210e+00 
               468 +6.946363562080e+00 +6.950995389668e+00 +6.951958160783e+00 +6.951323106472e+00 +6.951164304501e+00 +6.951727299102e+00 +6.952367765839e+00 
               469 +6.946349144608e+00 +6.950983448623e+00 +6.951951554815e+00 +6.951322989717e+00 +6.951165490698e+00 +6.951725935554e+00 +6.952363760503e+00 
               470 +6.946334805950e+00 +6.950971573898e+00 +6.951944978970e+00 +6.951322782638e+00 +6.951166643423e+00 +6.951724587099e+00 +6.952359789503e+00 
               471 +6.945301933366e+00 +6.950115840475e+00 +6.951470605507e+00 +6.951301240219e+00 +6.951248039196e+00 +6.951627900560e+00 +6.952074498244e+00 
               472 +6.945246872242e+00 +6.950070597257e+00 +6.951443560475e+00 +6.951274607997e+00 +6.951246330809e+00 +6.951624584377e+00 +6.952062861456e+00 
               473 +6.945208103583e+00 +6.950038804160e+00 +6.951425297403e+00 +6.951261655301e+00 +6.951246648350e+00 +6.951622152617e+00 +6.952054780452e+00 
               474 +6.945181670522e+00 +6.950017074058e+00 +6.951412866487e+00 +6.951256759367e+00 +6.951246897402e+00 +6.951620569730e+00 +6.952049325365e+00 
               475 +6.945136992128e+00 +6.949980350166e+00 +6.951392034378e+00 +6.951247971813e+00 +6.951247516353e+00 +6.951617867170e+00 +6.952040166851e+00 
               476 +6.945087234281e+00 +6.949939420796e+00 +6.951368962303e+00 +6.951239978716e+00 +6.951248297157e+00 +6.951614868445e+00 +6.952030081865e+00 
               477 +6.943951385313e+00 +6.949003775824e+00 +6.950843591323e+00 +6.951069790321e+00 +6.951265909506e+00 +6.951546595008e+00 +6.951802625865e+00 
               478 +6.943938517581e+00 +6.948992948698e+00 +6.950837594237e+00 +6.951071455161e+00 +6.951265403624e+00 +6.951545848155e+00 +6.951800838027e+00 
               479 +6.943925855471e+00 +6.948982318902e+00 +6.950831914121e+00 +6.951071746547e+00 +6.951264938641e+00 +6.951545121966e+00 +6.951799085984e+00 
               480 +6.943908150634e+00 +6.948967454843e+00 +6.950823913020e+00 +6.951071109933e+00 +6.951264226232e+00 +6.951544102602e+00 +6.951796643974e+00 
               481 +6.943751791294e+00 +6.948836165665e+00 +6.950752725087e+00 +6.951057336815e+00 +6.951257165963e+00 +6.951535049347e+00 +6.951775170383e+00 
               482 +6.943683889953e+00 +6.948779138798e+00 +6.950720350546e+00 +6.951033544235e+00 +6.951251378177e+00 +6.951530924115e+00 +6.951766208641e+00 
               483 +6.943549842781e+00 +6.948666591787e+00 +6.950657314439e+00 +6.951010896413e+00 +6.951240504114e+00 +6.951522649148e+00 +6.951748803055e+00 
               484 +6.943529457596e+00 +6.948649467190e+00 +6.950647477520e+00 +6.950998001098e+00 +6.951238985015e+00 +6.951521340477e+00 +6.951746236495e+00 
               485 +6.943508984709e+00 +6.948632275869e+00 +6.950637787651e+00 +6.950993284301e+00 +6.951237230134e+00 +6.951520021479e+00 +6.951743673821e+00 
               486 +6.943495356712e+00 +6.948620832473e+00 +6.950631334131e+00 +6.950990054439e+00 +6.951236035031e+00 +6.951519137567e+00 +6.951741975731e+00 
               487 +6.943431426473e+00 +6.948567146965e+00 +6.950601029176e+00 +6.950975080987e+00 +6.951230351834e+00 +6.951514972978e+00 +6.951734033475e+00 
               488 +6.943418029670e+00 +6.948555895628e+00 +6.950594652643e+00 +6.950971871198e+00 +6.951229089431e+00 +6.951514082414e+00 +6.951732392563e+00 
               489 +6.943190457759e+00 +6.948364735490e+00 +6.950486254039e+00 +6.950916726767e+00 +6.951207412866e+00 +6.951498886686e+00 +6.951704593975e+00 
               490 +6.943174966975e+00 +6.948351716434e+00 +6.950478791285e+00 +6.950912557585e+00 +6.951205663661e+00 +6.951497773879e+00 +6.951702794732e+00 
               491 +6.943107171658e+00 +6.948294733279e+00 +6.950446095367e+00 +6.950894602863e+00 +6.951197923156e+00 +6.951492876305e+00 +6.951694942976e+00 
               492 +6.943095215446e+00 +6.948284681318e+00 +6.950440305364e+00 +6.950891433353e+00 +6.951196494335e+00 +6.951491991373e+00 +6.951693575845e+00 
               493 +6.943055449118e+00 +6.948251245963e+00 +6.950421038349e+00 +6.950880808768e+00 +6.951191704960e+00 +6.951489035176e+00 +6.951689038359e+00 
               494 +6.943030816162e+00 +6.948230530802e+00 +6.950409080209e+00 +6.950874103528e+00 +6.951188659795e+00 +6.951487177087e+00 +6.951686247425e+00 
               495 +6.930821181715e+00 +6.937876387912e+00 +6.944422305341e+00 +6.947511726347e+00 +6.949643001165e+00 +6.950550812133e+00 +6.950296774770e+00 
               496 +6.930821544960e+00 +6.937876514328e+00 +6.944417193915e+00 +6.947498788625e+00 +6.949628813519e+00 +6.950545903871e+00 +6.950300116259e+00 
               497 +6.930821864578e+00 +6.937876669222e+00 +6.944413437732e+00 +6.947487694721e+00 +6.949617049992e+00 +6.950541790612e+00 +6.950302872334e+00 
               498 +6.930822196280e+00 +6.937876827480e+00 +6.944409714492e+00 +6.947476662184e+00 +6.949605311889e+00 +6.950537668147e+00 +6.950305585734e+00 
               499 +6.930846987454e+00 +6.937888284849e+00 +6.944146712732e+00 +6.946698027767e+00 +6.948775598005e+00 +6.950245016857e+00 +6.950494787405e+00 
               500 +6.930849440413e+00 +6.937888816135e+00 +6.944138935566e+00 +6.946675312945e+00 +6.948751351349e+00 +6.950233943864e+00 +6.950495194310e+00 
               501 +6.930852143116e+00 +6.937889398127e+00 +6.944130260435e+00 +6.946649169369e+00 +6.948725226412e+00 +6.950221830652e+00 +6.950495513621e+00 
               502 +6.930854285636e+00 +6.937889862760e+00 +6.944123501404e+00 +6.946629673624e+00 +6.948704874708e+00 +6.950212289794e+00 +6.950495655590e+00 
               503 +6.930971098263e+00 +6.937915211231e+00 +6.943762042691e+00 +6.945599745410e+00 +6.947615599783e+00 +6.949697758370e+00 +6.950498778393e+00 
               504 +6.930975399250e+00 +6.937916139331e+00 +6.943754692060e+00 +6.945590198972e+00 +6.947592090939e+00 +6.949681883125e+00 +6.950492837060e+00 
               505 +6.930978761078e+00 +6.937916836377e+00 +6.943748580325e+00 +6.945579168517e+00 +6.947573166032e+00 +6.949669427098e+00 +6.950488105688e+00 
               506 +6.930981243219e+00 +6.937917337340e+00 +6.943743919227e+00 +6.945569549475e+00 +6.947558998950e+00 +6.949660206715e+00 +6.950484562348e+00 
               507 +6.930989162905e+00 +6.937918908671e+00 +6.943728737730e+00 +6.945536756423e+00 +6.947513468279e+00 +6.949630737095e+00 +6.950473139712e+00 
               508 +6.931000281312e+00 +6.937921002146e+00 +6.943706295851e+00 +6.945483190831e+00 +6.947448371207e+00 +6.949589132556e+00 +6.950456574033e+00 
               509 +6.931115392993e+00 +6.937941426285e+00 +6.943466237292e+00 +6.944889472632e+00 +6.946770196667e+00 +6.949156239135e+00 +6.950277828350e+00 
               510 +6.931117419098e+00 +6.937941540012e+00 +6.943460733059e+00 +6.944880804207e+00 +6.946758056625e+00 +6.949148011463e+00 +6.950273243931e+00 
               511 +6.931119439487e+00 +6.937941716056e+00 +6.943455863805e+00 +6.944869667342e+00 +6.946746149592e+00 +6.949139822178e+00 +6.950268708183e+00 
               512 +6.931121691688e+00 +6.937941910838e+00 +6.943450453859e+00 +6.944857231340e+00 +6.946732910027e+00 +6.949130678334e+00 +6.950263625093e+00 
               513 +6.931163656510e+00 +6.937945494136e+00 +6.943350162483e+00 +6.944628765780e+00 +6.946487015936e+00 +6.948960122993e+00 +6.950168417097e+00 
               514 +6.931174391799e+00 +6.937946158623e+00 +6.943326344401e+00 +6.944584223659e+00 +6.946426437658e+00 +6.948914840483e+00 +6.950141234880e+00 
               515 +6.931198624082e+00 +6.937947239291e+00 +6.943270703064e+00 +6.944464152751e+00 +6.946286597545e+00 +6.948811220405e+00 +6.950078126276e+00 
               516 +6.931200875728e+00 +6.937947260865e+00 +6.943265005886e+00 +6.944453278985e+00 +6.946273314064e+00 +6.948801262657e+00 +6.950071840117e+00 
               517 +6.931203121218e+00 +6.937947283331e+00 +6.943259469862e+00 +6.944442313612e+00 +6.946260062933e+00 +6.948791312029e+00 +6.950065559561e+00 
               518 +6.931205021752e+00 +6.937947296682e+00 +6.943254800641e+00 +6.944432807236e+00 +6.946248832747e+00 +6.948782863991e+00 +6.950060211048e+00 
               519 +6.931255384855e+00 +6.937947529673e+00 +6.943131276660e+00 +6.944178240774e+00 +6.945951262687e+00 +6.948558654103e+00 +6.949917896645e+00 
               520 +6.931258083500e+00 +6.937947358939e+00 +6.943124548950e+00 +6.944162041280e+00 +6.945934822940e+00 +6.948545726845e+00 +6.949909148014e+00 
               521 +6.931283707400e+00 +6.937945643164e+00 +6.943058925875e+00 +6.944021072190e+00 +6.945778479207e+00 +6.948422468381e+00 +6.949825471245e+00 
               522 +6.931286511543e+00 +6.937945333571e+00 +6.943050715882e+00 +6.944010301226e+00 +6.945760880062e+00 +6.948408337124e+00 +6.949815593939e+00 
               523 +6.931290115521e+00 +6.937944909911e+00 +6.943040536358e+00 +6.943992935898e+00 +6.945738117790e+00 +6.948390076391e+00 +6.949802788556e+00 
               524 +6.931291837457e+00 +6.937944693860e+00 +6.943035730510e+00 +6.943983736406e+00 +6.945727179846e+00 +6.948381288311e+00 +6.949796600528e+00 
               525 +6.931296566276e+00 +6.937944083917e+00 +6.943022511371e+00 +6.943958211152e+00 +6.945697079743e+00 +6.948357071834e+00 +6.949779515527e+00 
               526 +6.931298412766e+00 +6.937943827478e+00 +6.943017314443e+00 +6.943948030584e+00 +6.945685255703e+00 +6.948347522749e+00 +6.949772742679e+00 
               527 +6.932144223948e+00 +6.937826642669e+00 +6.940684694709e+00 +6.939386733514e+00 +6.940385276983e+00 +6.944059495756e+00 +6.946724451961e+00 
               528 +6.932139469070e+00 +6.937811977152e+00 +6.940655860568e+00 +6.939375103747e+00 +6.940353470710e+00 +6.944003134773e+00 +6.946654806702e+00 
               529 +6.932138141107e+00 +6.937808121234e+00 +6.940648299279e+00 +6.939371112328e+00 +6.940344707000e+00 +6.943988839076e+00 +6.946637154158e+00 
               530 +6.932137137533e+00 +6.937805266744e+00 +6.940642706829e+00 +6.939367463350e+00 +6.940338227811e+00 +6.943978291774e+00 +6.946624121465e+00 
               531 +6.932136033825e+00 +6.937802166328e+00 +6.940636623438e+00 +6.939363202905e+00 +6.940331201924e+00 +6.943966889038e+00 +6.946610028173e+00 
               532 +6.932131093213e+00 +6.937788458098e+00 +6.940609664066e+00 +6.939343370009e+00 +6.940300206337e+00 +6.943916753352e+00 +6.946548048975e+00 
