#               step          distance_1          distance_2          distance_3          distance_4          distance_5          distance_6          distance_7 
#                                                                                                                                                                
                39 +6.038361899246e+00 +6.156075413644e+00 +6.201472221643e+00 +6.158726432745e+00 +5.974458943481e+00 +5.785142883702e+00 +5.701210242110e+00 
                40 +6.039098789660e+00 +6.156009873054e+00 +6.196587773729e+00 +6.165564489979e+00 +5.974102920299e+00 +5.785489744921e+00 +5.700775842115e+00 
                41 +6.039743913469e+00 +6.155948310849e+00 +6.195025955671e+00 +6.164317274420e+00 +5.974248584934e+00 +5.785919722648e+00 +5.700459602749e+00 
                42 +6.040231051336e+00 +6.155907518107e+00 +6.194098988281e+00 +6.163751436705e+00 +5.974374956554e+00 +5.786258006229e+00 +5.700232536087e+00 
                43 +6.040805838188e+00 +6.155853428989e+00 +6.193082896131e+00 +6.163207415974e+00 +5.974523044591e+00 +5.786656264697e+00 +5.699973234865e+00 
                44 +6.042463691066e+00 +6.155672155672e+00 +6.190286558081e+00 +6.161846796557e+00 +5.974935643002e+00 +5.787793774532e+00 +5.699254846672e+00 
                45 +6.058187023940e+00 +6.153367615727e+00 +6.166498699636e+00 +6.151473596581e+00 +5.978594055138e+00 +5.798366547893e+00 +5.693413843963e+00 
                46 +6.060059411911e+00 +6.152608391777e+00 +6.164735930363e+00 +6.148332167370e+00 +5.978934880134e+00 +5.799373261426e+00 +5.693616910561e+00 
                47 +6.061494026055e+00 +6.152063455307e+00 +6.163573506866e+00 +6.149069223141e+00 +5.979218992880e+00 +5.800191383989e+00 +5.693833942063e+00 
                48 +6.061931098621e+00 +6.151891397137e+00 +6.163086840807e+00 +6.148124132292e+00 +5.979319765780e+00 +5.800437060351e+00 +5.693914252422e+00 
                49 +6.062355264144e+00 +6.151729202850e+00 +6.162691830525e+00 +6.147556675291e+00 +5.979423732354e+00 +5.800684154852e+00 +5.693997406161e+00 
                50 +6.062803638088e+00 +6.151557565782e+00 +6.162285463446e+00 +6.147094105028e+00 +5.979533426552e+00 +5.800947756611e+00 +5.694089954807e+00 
                51 +6.083959029552e+00 +6.143518960473e+00 +6.143543363307e+00 +6.128612672922e+00 +5.984861919091e+00 +5.813675806244e+00 +5.699055166118e+00 
                52 +6.084370007261e+00 +6.143329442421e+00 +6.143186913697e+00 +6.129705955861e+00 +5.985019768475e+00 +5.814034508681e+00 +5.699438653165e+00 
                53 +6.084996810955e+00 +6.143031801631e+00 +6.142502202980e+00 +6.129813723855e+00 +5.985285987604e+00 +5.814578119224e+00 +5.700033746140e+00 
                54 +6.085365133364e+00 +6.142851219870e+00 +6.142043237617e+00 +6.129600003952e+00 +5.985443858317e+00 +5.814898247514e+00 +5.700392271825e+00 
                55 +6.089346934904e+00 +6.140876005848e+00 +6.136989393560e+00 +6.127517477091e+00 +5.987146673300e+00 +5.818397449947e+00 +5.704343780658e+00 
                56 +6.089588122104e+00 +6.140734076051e+00 +6.136596571016e+00 +6.127348852215e+00 +5.987240944350e+00 +5.818624697552e+00 +5.704623936295e+00 
