#             steps         distance_1         distance_2         distance_3         distance_4         distance_5         distance_6         distance_7 
#                <>                 <>                 <>                 <>                 <>                 <>                 <>                 <> 
               420 6.172026614467e+00 6.173491302495e+00 6.175770387603e+00 6.176911380958e+00 6.178775542036e+00 6.178217859233e+00 6.177112673621e+00 
               430 6.183211189920e+00 6.184805758011e+00 6.187298926150e+00 6.188660631844e+00 6.190457140947e+00 6.189718272731e+00 6.188556876018e+00 
               440 6.195640862082e+00 6.197372055601e+00 6.200040694259e+00 6.201650115176e+00 6.203324538927e+00 6.202469035514e+00 6.201220067253e+00 
               450 6.209144867315e+00 6.211009943668e+00 6.213820090179e+00 6.215683621600e+00 6.217211320494e+00 6.216284239491e+00 6.214938981644e+00 
               460 6.223509061833e+00 6.225496531890e+00 6.228419637590e+00 6.230522009569e+00 6.231905153698e+00 6.230930430811e+00 6.229499903087e+00 
               470 6.238271646186e+00 6.240338951000e+00 6.243390257388e+00 6.245630876290e+00 6.246993235175e+00 6.245869082661e+00 6.244447968059e+00 
               480 6.254179982298e+00 6.256338643948e+00 6.259450770249e+00 6.261877786295e+00 6.263119630736e+00 6.261980603741e+00 6.260509468859e+00 
               490 6.270629546609e+00 6.272864814241e+00 6.276003957053e+00 6.278595769153e+00 6.279715194376e+00 6.278593494609e+00 6.277080849477e+00 
               500 6.287444240252e+00 6.289736122575e+00 6.292876915130e+00 6.295598018369e+00 6.296611755949e+00 6.295517594270e+00 6.293984033057e+00 
               510 6.304512017098e+00 6.306833219787e+00 6.309964770295e+00 6.312758893230e+00 6.313714274583e+00 6.312621837390e+00 6.311107847279e+00 
               520 6.321732435619e+00 6.324058409247e+00 6.327167962971e+00 6.329985639955e+00 6.330920120805e+00 6.329810806139e+00 6.328348943454e+00 
               530 6.339181793850e+00 6.341511298697e+00 6.344546962864e+00 6.347406890336e+00 6.348256539890e+00 6.347216196528e+00 6.345770575411e+00 
               540 6.356343305889e+00 6.358631530538e+00 6.361623902858e+00 6.364420949196e+00 6.365309243348e+00 6.364219294390e+00 6.362878197144e+00 
               550 6.373760229002e+00 6.376021606777e+00 6.378897339723e+00 6.381692577799e+00 6.382496607329e+00 6.381499060021e+00 6.380185232951e+00 
               560 6.390542682207e+00 6.392734703107e+00 6.395531966658e+00 6.398227036474e+00 6.399066552463e+00 6.398039399741e+00 6.396835823277e+00 
               570 6.407530948253e+00 6.409666104247e+00 6.412321727680e+00 6.414970595419e+00 6.415738617461e+00 6.414801225784e+00 6.413639557589e+00 
               580 6.424131755893e+00 6.426199825937e+00 6.428700884133e+00 6.431293173752e+00 6.431984272073e+00 6.431144136870e+00 6.430021619785e+00 
               590 6.439974866616e+00 6.441940661486e+00 6.444328861146e+00 6.446784044112e+00 6.447502708001e+00 6.446646405954e+00 6.445633044621e+00 
               600 6.455771496591e+00 6.457648538608e+00 6.459872288123e+00 6.462243970885e+00 6.462894149603e+00 6.462123842053e+00 6.461154973722e+00 
               610 6.470761187213e+00 6.472525898415e+00 6.474616494314e+00 6.476853159163e+00 6.477503982633e+00 6.476741591342e+00 6.475861596871e+00 
               620 6.485564705117e+00 6.487222858852e+00 6.489151425633e+00 6.491282950759e+00 6.491880165524e+00 6.491180921976e+00 6.490351729982e+00 
               630 6.499673919326e+00 6.501214453667e+00 6.502995959834e+00 6.505002445001e+00 6.505573449783e+00 6.504903424046e+00 6.504140155597e+00 
               640 6.513407952890e+00 6.514831846988e+00 6.516456287626e+00 6.518350731658e+00 6.518873386086e+00 6.518252350637e+00 6.517537033366e+00 
               650 6.526579341557e+00 6.527882544451e+00 6.529356183040e+00 6.531135504521e+00 6.531615794778e+00 6.531032998371e+00 6.530365809615e+00 
               660 6.539216789277e+00 6.540397071281e+00 6.541725456580e+00 6.543389437459e+00 6.543831132695e+00 6.543278379535e+00 6.542657866282e+00 
               670 6.551469479170e+00 6.552532091680e+00 6.553706029316e+00 6.555275214522e+00 6.555650916627e+00 6.555154516300e+00 6.554557661233e+00 
               680 6.563041860497e+00 6.563978124394e+00 6.565023789020e+00 6.566475821124e+00 6.566827316212e+00 6.566338261896e+00 6.565789339975e+00 
               690 6.574335199768e+00 6.575160606663e+00 6.576052673488e+00 6.577432716183e+00 6.577698095878e+00 6.577281518014e+00 6.576733061391e+00 
               700 6.584966240704e+00 6.585665766750e+00 6.586445410844e+00 6.587711755399e+00 6.587963242129e+00 6.587537421130e+00 6.587035609598e+00 
               710 6.595345887001e+00 6.595948460921e+00 6.596570044109e+00 6.597799570829e+00 6.597930607481e+00 6.597611420184e+00 6.597076327238e+00 
               720 6.605077704984e+00 6.605551259489e+00 6.606088531224e+00 6.607193621603e+00 6.607344510193e+00 6.606975626144e+00 6.606502828106e+00 
               730 6.614577354931e+00 6.614960004366e+00 6.615354198144e+00 6.616431459136e+00 6.616468411057e+00 6.616197129078e+00 6.615686903554e+00 
               740 6.623572362824e+00 6.623838994507e+00 6.624150252250e+00 6.625129536506e+00 6.625166234377e+00 6.624865927604e+00 6.624396072020e+00 
               750 6.632260284796e+00 6.632430113559e+00 6.632636691824e+00 6.633563683211e+00 6.633541783568e+00 6.633277444829e+00 6.632802112184e+00 
               760 6.640570068979e+00 6.640636434774e+00 6.640764605280e+00 6.641616351323e+00 6.641579104953e+00 6.641302855045e+00 6.640849885899e+00 
               770 6.648548518266e+00 6.648512411554e+00 6.648574817396e+00 6.649346689829e+00 6.649310495935e+00 6.649004367866e+00 6.648582681745e+00 
               780 6.656144868541e+00 6.656000679972e+00 6.656023095432e+00 6.656693046522e+00 6.656699775353e+00 6.656317807907e+00 6.655954923372e+00 
               790 6.663665130202e+00 6.663445793410e+00 6.663379053886e+00 6.664027064501e+00 6.663965652404e+00 6.663632956144e+00 6.663245362246e+00 
               800 6.670795902425e+00 6.670489214813e+00 6.670371755056e+00 6.670956688071e+00 6.670897085437e+00 6.670536580763e+00 6.670172762022e+00 
               810 6.677683204035e+00 6.677294717795e+00 6.677130182266e+00 6.677658255072e+00 6.677599003335e+00 6.677213597209e+00 6.676870253107e+00 
               820 6.684399711634e+00 6.683939275900e+00 6.683722107779e+00 6.684211241584e+00 6.684132682877e+00 6.683745817460e+00 6.683406478877e+00 
               830 6.690974225211e+00 6.690454704152e+00 6.690173572920e+00 6.690649348640e+00 6.690520048776e+00 6.690168695576e+00 6.689808213739e+00 
               840 6.697365635206e+00 6.696802283343e+00 6.696442823594e+00 6.696935543592e+00 6.696717302831e+00 6.696446534396e+00 6.696034586752e+00 
               850 6.703511469971e+00 6.702887003614e+00 6.702492754129e+00 6.702949185349e+00 6.702726902218e+00 6.702442153561e+00 6.702040187183e+00 
               860 6.709471268491e+00 6.708784694390e+00 6.708369022497e+00 6.708778708909e+00 6.708573217631e+00 6.708252454513e+00 6.707874570519e+00 
               870 6.715297918720e+00 6.714561006456e+00 6.714113956401e+00 6.714498594124e+00 6.714283069025e+00 6.713958279699e+00 6.713583265122e+00 
               880 6.720812908489e+00 6.719983101115e+00 6.719425424405e+00 6.719451881087e+00 6.719552846547e+00 6.719277858095e+00 6.718995204366e+00 
               890 6.725738556818e+00 6.724825698471e+00 6.724150985930e+00 6.724122777572e+00 6.724189485523e+00 6.724009045790e+00 6.723743213320e+00 
               900 6.730416340881e+00 6.729478800458e+00 6.728754654102e+00 6.728756616801e+00 6.728738245541e+00 6.728622827727e+00 6.728312784513e+00 
               910 6.734923826131e+00 6.733947226516e+00 6.733215972279e+00 6.733195907482e+00 6.733175951746e+00 6.733035868357e+00 6.732739763810e+00 
               920 6.739272880062e+00 6.738246942149e+00 6.737535659324e+00 6.737456815003e+00 6.737491706134e+00 6.737265724749e+00 6.737022801817e+00 
               930 6.743637271961e+00 6.742595241798e+00 6.741850104669e+00 6.741794974403e+00 6.741767741997e+00 6.741586880758e+00 6.741311415608e+00 
               940 6.747829049783e+00 6.746753950000e+00 6.746013295056e+00 6.745928848863e+00 6.745920442202e+00 6.745697323442e+00 6.745446236918e+00 
               950 6.751937488938e+00 6.750835286242e+00 6.750095180141e+00 6.749990876494e+00 6.749990934650e+00 6.749739259120e+00 6.749503801343e+00 
               960 6.756009618488e+00 6.754889723347e+00 6.754139389148e+00 6.754034674828e+00 6.754017914200e+00 6.753767678181e+00 6.753528592816e+00 
               970 6.760049862501e+00 6.758925866831e+00 6.758146786720e+00 6.758072695177e+00 6.757996817496e+00 6.757796749428e+00 6.757522698659e+00 
               980 6.763944942549e+00 6.762799167831e+00 6.762029787108e+00 6.761931949222e+00 6.761878365385e+00 6.761640513012e+00 6.761389146612e+00 
               990 6.767841374464e+00 6.766700780904e+00 6.765897551785e+00 6.765844206040e+00 6.765716100377e+00 6.765549165230e+00 6.765250244952e+00 
              1000 6.771646615677e+00 6.770507409418e+00 6.769682624688e+00 6.769658007381e+00 6.769480220757e+00 6.769358410373e+00 6.769029194731e+00 
              1010 6.775372033622e+00 6.774223669114e+00 6.773401418079e+00 6.773371686231e+00 6.773194842358e+00 6.773063772896e+00 6.772740079989e+00 
              1020 6.779024868973e+00 6.777860345855e+00 6.777058072362e+00 6.776998903764e+00 6.776859688208e+00 6.776680275473e+00 6.776387947241e+00 
              1030 6.782578088679e+00 6.781391532504e+00 6.780624314829e+00 6.780514704692e+00 6.780444772537e+00 6.780183442160e+00 6.779944713233e+00 
              1040 6.786169450940e+00 6.784988067078e+00 6.784210140965e+00 6.784121144472e+00 6.784018744532e+00 6.783788834694e+00 6.783530541923e+00 
              1050 6.789696698207e+00 6.788522934251e+00 6.787733470276e+00 6.787667985470e+00 6.787529910932e+00 6.787335994727e+00 6.787055592428e+00 
              1060 6.793102796046e+00 6.791915852573e+00 6.791156316017e+00 6.791052576594e+00 6.790969036317e+00 6.790712631711e+00 6.790474404929e+00 
              1070 6.796481839597e+00 6.795293232526e+00 6.794545607466e+00 6.794432214947e+00 6.794362542909e+00 6.794089312143e+00 6.793863980194e+00 
              1080 6.799847677151e+00 6.798663753252e+00 6.797919306695e+00 6.797810732686e+00 6.797734622158e+00 6.797467680612e+00 6.797240594307e+00 
              1090 6.803161897508e+00 6.801983270731e+00 6.801243461014e+00 6.801138462348e+00 6.801058245889e+00 6.800795689508e+00 6.800568392149e+00 
              1100 6.806422734970e+00 6.805249208798e+00 6.804516755537e+00 6.804412004499e+00 6.804332956283e+00 6.804069568566e+00 6.803845718571e+00 
              1110 6.809667283390e+00 6.808505709634e+00 6.807770210452e+00 6.807682515892e+00 6.807580711277e+00 6.807343356525e+00 6.807105813643e+00 
              1120 6.812822780671e+00 6.811665236635e+00 6.810943125284e+00 6.810847791695e+00 6.810759272851e+00 6.810508731148e+00 6.810283119486e+00 
              1130 6.815988425841e+00 6.814850299881e+00 6.814115000036e+00 6.814053635124e+00 6.813918489116e+00 6.813721097168e+00 6.813464663728e+00 
              1140 6.819055005800e+00 6.817919373958e+00 6.817203699877e+00 6.817126143312e+00 6.817017161412e+00 6.816793179550e+00 6.816557753098e+00 
              1150 6.822133261228e+00 6.821025840733e+00 6.820283431567e+00 6.820261729774e+00 6.820074836080e+00 6.819939030068e+00 6.819650430854e+00 
              1160 6.825142577314e+00 6.824055127356e+00 6.823302428438e+00 6.823311563180e+00 6.823083102229e+00 6.822995736962e+00 6.822679841381e+00 
              1170 6.828094270088e+00 6.827013957785e+00 6.826276071059e+00 6.826277577602e+00 6.826063330424e+00 6.825963325770e+00 6.825659838582e+00 
              1180 6.830995426218e+00 6.829916134319e+00 6.829205577371e+00 6.829180238355e+00 6.829008128909e+00 6.828865016151e+00 6.828593771990e+00 
              1190 6.833873791389e+00 6.832812597446e+00 6.832098150282e+00 6.832094522829e+00 6.831894306137e+00 6.831785425780e+00 6.831496413407e+00 
              1200 6.836673445502e+00 6.835606178435e+00 6.834934032194e+00 6.834880491821e+00 6.834755922414e+00 6.834567464275e+00 6.834334456696e+00 
              1210 6.839479596921e+00 6.838432035638e+00 6.837754466454e+00 6.837725302637e+00 6.837568851972e+00 6.837419045783e+00 6.837165556708e+00 
              1220 6.842187544854e+00 6.841137469004e+00 6.840496654418e+00 6.840426136350e+00 6.840332976452e+00 6.840117400765e+00 6.839911048306e+00 
              1230 6.844876635751e+00 6.843835425406e+00 6.843210444377e+00 6.843131154123e+00 6.843054110629e+00 6.842824655364e+00 6.842631884093e+00 
              1240 6.847554869336e+00 6.846527692157e+00 6.845909426963e+00 6.845835698710e+00 6.845754028941e+00 6.845533561534e+00 6.845339630722e+00 
              1250 6.850201127581e+00 6.849190140343e+00 6.848574859369e+00 6.848512536930e+00 6.848417760022e+00 6.848215642500e+00 6.848014520194e+00 
              1260 6.852773840380e+00 6.851772494027e+00 6.851172546190e+00 6.851102132411e+00 6.851022434321e+00 6.850807744928e+00 6.850619412634e+00 
              1270 6.855347310936e+00 6.854363912544e+00 6.853764034082e+00 6.853709516393e+00 6.853610142530e+00 6.853421075088e+00 6.853220866311e+00 
              1280 6.857849216781e+00 6.856876096362e+00 6.856290719590e+00 6.856229270707e+00 6.856143233060e+00 6.855943565877e+00 6.855754877555e+00 
              1290 6.860357784124e+00 6.859409766506e+00 6.858810949397e+00 6.858786455588e+00 6.858650132381e+00 6.858509667888e+00 6.858287365244e+00 
              1300 6.862780035676e+00 6.861838107732e+00 6.861261918090e+00 6.861217524523e+00 6.861113249953e+00 6.860941689064e+00 6.860744147738e+00 
              1310 6.865210240249e+00 6.864299831945e+00 6.863697609921e+00 6.863709731595e+00 6.863526686689e+00 6.863445501525e+00 6.863194123423e+00 
              1320 6.867556898335e+00 6.866648462555e+00 6.866076757261e+00 6.866056307102e+00 6.865923590058e+00 6.865791278799e+00 6.865577584614e+00 
              1330 6.869903235513e+00 6.869026526872e+00 6.868427926928e+00 6.868465108082e+00 6.868251866281e+00 6.868211774939e+00 6.867942982944e+00 
              1340 6.872185044559e+00 6.871312714393e+00 6.870739867961e+00 6.870751654240e+00 6.870578241769e+00 6.870498512080e+00 6.870259916748e+00 
              1350 6.874444071946e+00 6.873591556103e+00 6.873014390624e+00 6.873047986819e+00 6.872845874718e+00 6.872801533960e+00 6.872544548412e+00 
              1360 6.876636442223e+00 6.875777746998e+00 6.875246401014e+00 6.875222488330e+00 6.875106680760e+00 6.874971770624e+00 6.874777845073e+00 
              1370 6.878833859826e+00 6.877996614432e+00 6.877457463805e+00 6.877460560247e+00 6.877308410931e+00 6.877217215471e+00 6.876999449947e+00 
              1380 6.880949406519e+00 6.880110293944e+00 6.879608065744e+00 6.879567157273e+00 6.879481613826e+00 6.879321363313e+00 6.879152626600e+00 
              1390 6.883079051499e+00 6.882258935674e+00 6.881753206614e+00 6.881732176814e+00 6.881620530651e+00 6.881492726175e+00 6.881307362781e+00 
              1400 6.885130786367e+00 6.884314948929e+00 6.883833672813e+00 6.883787900349e+00 6.883714811621e+00 6.883548598524e+00 6.883392340599e+00 
              1410 6.887188265421e+00 6.886387903152e+00 6.885909386152e+00 6.885873206190e+00 6.885788831930e+00 6.885638773610e+00 6.885476334729e+00 
              1420 6.889187183818e+00 6.888396264026e+00 6.887931676134e+00 6.887887063358e+00 6.887817487636e+00 6.887654970320e+00 6.887504772419e+00 
              1430 6.891185860568e+00 6.890412567398e+00 6.889945947945e+00 6.889918192312e+00 6.889826684602e+00 6.889691899028e+00 6.889527948156e+00 
              1440 6.893123111962e+00 6.892358985196e+00 6.891906249260e+00 6.891869756381e+00 6.891793395192e+00 6.891645702316e+00 6.891494191252e+00 
              1450 6.895036068091e+00 6.894283652874e+00 6.893839550958e+00 6.893802490632e+00 6.893729373730e+00 6.893581763505e+00 6.893434250948e+00 
              1460 6.896932186825e+00 6.896196452876e+00 6.895751007515e+00 6.895729122243e+00 6.895636353641e+00 6.895513842746e+00 6.895354120948e+00 
              1470 6.898808210191e+00 6.898102284495e+00 6.897629188762e+00 6.897664168050e+00 6.897491152287e+00 6.897459943206e+00 6.897245143530e+00 
              1480 6.900618725951e+00 6.899914742119e+00 6.899468452638e+00 6.899473379179e+00 6.899346281817e+00 6.899268372146e+00 6.899087678628e+00 
              1490 6.902425170310e+00 6.901752541511e+00 6.901274525937e+00 6.901342450378e+00 6.901126078134e+00 6.901149211557e+00 6.900907020968e+00 
              1500 6.904178926166e+00 6.903506968083e+00 6.903057641400e+00 6.903092129343e+00 6.902926514323e+00 6.902897592001e+00 6.902692876958e+00 
