#             steps         distance_1         distance_2         distance_3         distance_4         distance_5         distance_6         distance_7 
#                <>                 <>                 <>                 <>                 <>                 <>                 <>                 <> 
              1740 6.938387940756e+00 6.937931096249e+00 6.937663805671e+00 6.937649019868e+00 6.937596903813e+00 6.937514377010e+00 6.937421039802e+00 
              1750 6.939524444597e+00 6.939076721960e+00 6.938812286463e+00 6.938801111986e+00 6.938745134196e+00 6.938669301737e+00 6.938574284740e+00 
              1760 6.940639227901e+00 6.940200103957e+00 6.939939238209e+00 6.939930380358e+00 6.939872399460e+00 6.939801197771e+00 6.939705793340e+00 
              1770 6.941731670188e+00 6.941299940891e+00 6.941044746813e+00 6.941034665482e+00 6.940979808228e+00 6.940907608598e+00 6.940815411598e+00 
              1780 6.942813441734e+00 6.942394162863e+00 6.942134109172e+00 6.942139734952e+00 6.942063347902e+00 6.942017018954e+00 6.941910637541e+00 
              1790 6.943861991190e+00 6.943447393260e+00 6.943197855598e+00 6.943194145552e+00 6.943132639438e+00 6.943072418042e+00 6.942977495330e+00 
              1800 6.944907824367e+00 6.944510592865e+00 6.944245489127e+00 6.944274555563e+00 6.944166630675e+00 6.944159352447e+00 6.944032669203e+00 
              1810 6.945918300522e+00 6.945522867122e+00 6.945273589674e+00 6.945284487986e+00 6.945204258614e+00 6.945169053892e+00 6.945062829204e+00 
              1820 6.946925570114e+00 6.946553814186e+00 6.946275298601e+00 6.946340844421e+00 6.946182309198e+00 6.946234735294e+00 6.946074244619e+00 
              1830 6.947906825714e+00 6.947550959194e+00 6.947258767399e+00 6.947353659446e+00 6.947153616854e+00 6.947253502844e+00 6.947064666730e+00 
              1840 6.948866442212e+00 6.948514684946e+00 6.948232718680e+00 6.948318168077e+00 6.948133060980e+00 6.948218846337e+00 6.948041431751e+00 
              1850 6.949806240058e+00 6.949452654240e+00 6.949192848988e+00 6.949249402991e+00 6.949107533665e+00 6.949148337140e+00 6.949002270238e+00 
              1860 6.950732883163e+00 6.950392050327e+00 6.950124103317e+00 6.950200706818e+00 6.950030800529e+00 6.950104285586e+00 6.949939323683e+00 
              1870 6.951632943077e+00 6.951283147537e+00 6.951051456672e+00 6.951076055767e+00 6.950982994104e+00 6.950974805894e+00 6.950864835555e+00 
              1880 6.952528509278e+00 6.952192103668e+00 6.951950444423e+00 6.951997848034e+00 6.951872704514e+00 6.951901554158e+00 6.951769811220e+00 
              1890 6.953391540797e+00 6.953048542033e+00 6.952837657454e+00 6.952841649203e+00 6.952780804129e+00 6.952741594349e+00 6.952655963236e+00 
              1900 6.954243818680e+00 6.953903981054e+00 6.953703542862e+00 6.953696971002e+00 6.953652584502e+00 6.953597435703e+00 6.953524195783e+00 
              1910 6.955088588812e+00 6.954756216142e+00 6.954557217656e+00 6.954554631652e+00 6.954505510826e+00 6.954457509397e+00 6.954381721558e+00 
              1920 6.955919594347e+00 6.955596368082e+00 6.955395097164e+00 6.955402429147e+00 6.955339920191e+00 6.955308471885e+00 6.955224028114e+00 
              1930 6.956724971801e+00 6.956404864638e+00 6.956213352418e+00 6.956210918510e+00 6.956163657247e+00 6.956117509096e+00 6.956044561145e+00 
              1940 6.957526393412e+00 6.957216611139e+00 6.957019880457e+00 6.957031955897e+00 6.956964586939e+00 6.956942260544e+00 6.956855899339e+00 
              1950 6.958303290433e+00 6.957996828725e+00 6.957808971384e+00 6.957812527045e+00 6.957758561432e+00 6.957723496086e+00 6.957647305703e+00 
              1960 6.959077468510e+00 6.958787481459e+00 6.958581167059e+00 6.958620553545e+00 6.958515395417e+00 6.958537967364e+00 6.958426447648e+00 
              1970 6.959824194281e+00 6.959533481514e+00 6.959343939181e+00 6.959361785185e+00 6.959288962647e+00 6.959278115806e+00 6.959190075237e+00 
              1980 6.960567541889e+00 6.960298938110e+00 6.960078663750e+00 6.960152094219e+00 6.959999269101e+00 6.960077381506e+00 6.959933699845e+00 
              1990 6.961285853308e+00 6.961012594870e+00 6.960816790928e+00 6.960855984849e+00 6.960753958728e+00 6.960778491174e+00 6.960671266546e+00 
              2000 6.961997896442e+00 6.961746833137e+00 6.961519538679e+00 6.961615376154e+00 6.961431765164e+00 6.961546911608e+00 6.961382910921e+00 
              2010 6.962690792301e+00 6.962437113470e+00 6.962229635742e+00 6.962298622667e+00 6.962155027149e+00 6.962228297262e+00 6.962093135327e+00 
              2020 6.963372393445e+00 6.963130050972e+00 6.962913141895e+00 6.963002742248e+00 6.962830009460e+00 6.962936705104e+00 6.962781678380e+00 
              2030 6.964034403405e+00 6.963779731875e+00 6.963602368981e+00 6.963632817604e+00 6.963547123864e+00 6.963560672919e+00 6.963467566318e+00 
              2040 6.964692216077e+00 6.964450319227e+00 6.964260130602e+00 6.964316559087e+00 6.964193885659e+00 6.964249360022e+00 6.964130846391e+00 
              2050 6.965325857802e+00 6.965075488662e+00 6.964916345998e+00 6.964927228915e+00 6.964871746660e+00 6.964855642762e+00 6.964785045096e+00 
              2060 6.965958859614e+00 6.965719018653e+00 6.965551312954e+00 6.965581085318e+00 6.965498925985e+00 6.965513480976e+00 6.965424709875e+00 
              2070 6.966568146725e+00 6.966325430676e+00 6.966176697615e+00 6.966180388391e+00 6.966137040996e+00 6.966110883371e+00 6.966050023905e+00 
              2080 6.967175509083e+00 6.966940123173e+00 6.966789061132e+00 6.966801332007e+00 6.966746299025e+00 6.966734425245e+00 6.966665925516e+00 
              2090 6.967764078099e+00 6.967530554670e+00 6.967388239287e+00 6.967390931427e+00 6.967350647251e+00 6.967324231175e+00 6.967266684199e+00 
              2100 6.968349359608e+00 6.968125197228e+00 6.967975931446e+00 6.967994591306e+00 6.967931834187e+00 6.967931407637e+00 6.967858610167e+00 
              2110 6.968915498625e+00 6.968692990227e+00 6.968552532494e+00 6.968561365911e+00 6.968513695305e+00 6.968498317962e+00 6.968436691155e+00 
              2120 6.969472110488e+00 6.969253628794e+00 6.969116863312e+00 6.969124141067e+00 6.969079496895e+00 6.969062284242e+00 6.969003331077e+00 
              2130 6.970021088903e+00 6.969811253907e+00 6.969668391983e+00 6.969690017754e+00 6.969625219991e+00 6.969631399419e+00 6.969558800023e+00 
              2140 6.970560506154e+00 6.970371557445e+00 6.970196796796e+00 6.970274766312e+00 6.970128611509e+00 6.970224799220e+00 6.970095473015e+00 
              2150 6.971082386204e+00 6.970888563678e+00 6.970735530697e+00 6.970782330530e+00 6.970682315062e+00 6.970729660479e+00 6.970633322543e+00 
              2160 6.971597420631e+00 6.971426106614e+00 6.971237314399e+00 6.971346617667e+00 6.971156238999e+00 6.971303340014e+00 6.971143922745e+00 
              2170 6.972099156113e+00 6.971921875616e+00 6.971756772119e+00 6.971831571807e+00 6.971692170636e+00 6.971785126754e+00 6.971662083408e+00 
              2180 6.972591369211e+00 6.972424930040e+00 6.972248108052e+00 6.972346078152e+00 6.972173602161e+00 6.972303898282e+00 6.972158075054e+00 
              2190 6.973072532572e+00 6.972907655388e+00 6.972738383936e+00 6.972828027263e+00 6.972668362476e+00 6.972786025116e+00 6.972649702077e+00 
              2200 6.973543135938e+00 6.973375359314e+00 6.973222826960e+00 6.973289081230e+00 6.973164166556e+00 6.973245293304e+00 6.973133896523e+00 
              2210 6.973999762068e+00 6.973821353467e+00 6.973701542168e+00 6.973718225964e+00 6.973666199331e+00 6.973669247035e+00 6.973609597957e+00 
              2220 6.974454134503e+00 6.974284604583e+00 6.974156553101e+00 6.974190493106e+00 6.974113970420e+00 6.974144948390e+00 6.974068524946e+00 
              2230 6.974891440541e+00 6.974717848653e+00 6.974608404847e+00 6.974615663721e+00 6.974578653825e+00 6.974567848199e+00 6.974519670785e+00 
              2240 6.975326827191e+00 6.975159820989e+00 6.975046625780e+00 6.975063694764e+00 6.975013019515e+00 6.975018317512e+00 6.974960970905e+00 
              2250 6.975747765904e+00 6.975581412572e+00 6.975476655848e+00 6.975483533714e+00 6.975448324143e+00 6.975437984986e+00 6.975391951738e+00 
              2260 6.976163021509e+00 6.976001420703e+00 6.975896407589e+00 6.975907258603e+00 6.975866867774e+00 6.975863356387e+00 6.975814106523e+00 
              2270 6.976568467868e+00 6.976410722086e+00 6.976307164594e+00 6.976319129323e+00 6.976277713549e+00 6.976276485972e+00 6.976226935972e+00 
              2280 6.976964608099e+00 6.976809850212e+00 6.976709410278e+00 6.976719713628e+00 6.976681307090e+00 6.976677953612e+00 6.976630933149e+00 
              2290 6.977354767973e+00 6.977208024630e+00 6.977100035140e+00 6.977126069126e+00 6.977065319347e+00 6.977087422918e+00 6.977025095327e+00 
              2300 6.977736464277e+00 6.977611100967e+00 6.977467270555e+00 6.977555209779e+00 6.977404810820e+00 6.977525599831e+00 6.977400618253e+00 
              2310 6.978106284926e+00 6.977973249516e+00 6.977854518084e+00 6.977904714979e+00 6.977809882009e+00 6.977871295867e+00 6.977785790694e+00 
              2320 6.978467282066e+00 6.978331475840e+00 6.978227374849e+00 6.978256871281e+00 6.978192757624e+00 6.978221818398e+00 6.978158304620e+00 
              2330 6.978822971583e+00 6.978704578802e+00 6.978572508738e+00 6.978650898875e+00 6.978516069392e+00 6.978623152796e+00 6.978510286583e+00 
              2340 6.979168905787e+00 6.979062155752e+00 6.978914088162e+00 6.979021750612e+00 6.978844790659e+00 6.978998763548e+00 6.978856642634e+00 
              2350 6.979506964736e+00 6.979401396861e+00 6.979259235842e+00 6.979360312967e+00 6.979193475723e+00 6.979337464546e+00 6.979202832938e+00 
              2360 6.979837225677e+00 6.979726138153e+00 6.979603886153e+00 6.979675430476e+00 6.979552153815e+00 6.979649759103e+00 6.979546123260e+00 
              2370 6.980157125892e+00 6.980033746057e+00 6.979945492596e+00 6.979964384122e+00 6.979918353288e+00 6.979932900275e+00 6.979883938955e+00 
              2380 6.980474084533e+00 6.980359379724e+00 6.980260892689e+00 6.980299451856e+00 6.980225259066e+00 6.980271441340e+00 6.980203027259e+00 
              2390 6.980782510632e+00 6.980677461941e+00 6.980566509373e+00 6.980628334357e+00 6.980520725097e+00 6.980604239403e+00 6.980512672262e+00 
              2400 6.981080672301e+00 6.980966706796e+00 6.980882277859e+00 6.980903519649e+00 6.980855542560e+00 6.980875124935e+00 6.980825824605e+00 
              2410 6.981372225357e+00 6.981257717440e+00 6.981182033844e+00 6.981191728046e+00 6.981161056398e+00 6.981162747725e+00 6.981125945582e+00 
              2420 6.981659026187e+00 6.981548213725e+00 6.981472268933e+00 6.981485125303e+00 6.981450315416e+00 6.981457439881e+00 6.981418054423e+00 
              2430 6.981938599573e+00 6.981831060219e+00 6.981755617148e+00 6.981770341080e+00 6.981733271908e+00 6.981743770018e+00 6.981703117233e+00 
              2440 6.982210925419e+00 6.982105584876e+00 6.982032783881e+00 6.982045825370e+00 6.982011663062e+00 6.982019898735e+00 6.981981604389e+00 
              2450 6.982478070574e+00 6.982379828464e+00 6.982299242327e+00 6.982327638729e+00 6.982271545996e+00 6.982304531865e+00 6.982251131560e+00 
              2460 6.982736249432e+00 6.982637759743e+00 6.982564730206e+00 6.982583307584e+00 6.982541965441e+00 6.982559774188e+00 6.982517047803e+00 
              2470 6.982990173532e+00 6.982903658542e+00 6.982812305774e+00 6.982863408669e+00 6.982775094525e+00 6.982844866083e+00 6.982769420277e+00 
              2480 6.983235806982e+00 6.983146406765e+00 6.983067972581e+00 6.983100399309e+00 6.983039732192e+00 6.983080271874e+00 6.983024555901e+00 
              2490 6.983475776052e+00 6.983404599309e+00 6.983294367742e+00 6.983381297303e+00 6.983241608828e+00 6.983368940742e+00 6.983257968264e+00 
              2500 6.983708724505e+00 6.983648372169e+00 6.983521851328e+00 6.983637853902e+00 6.983456201220e+00 6.983629993750e+00 6.983489809549e+00 
              2510 6.983936335283e+00 6.983875523522e+00 6.983756480613e+00 6.983862602614e+00 6.983695757900e+00 6.983854249295e+00 6.983724757679e+00 
              2520 6.984158278780e+00 6.984091338648e+00 6.983991675123e+00 6.984068387143e+00 6.983944809975e+00 6.984057033308e+00 6.983958231412e+00 
              2530 6.984373244367e+00 6.984314316660e+00 6.984203989280e+00 6.984300449545e+00 6.984148480324e+00 6.984292364108e+00 6.984173879285e+00 
              2540 6.984583291611e+00 6.984511473949e+00 6.984434626940e+00 6.984478494932e+00 6.984403569636e+00 6.984464425345e+00 6.984400359163e+00 
              2550 6.984787288671e+00 6.984724221729e+00 6.984634965062e+00 6.984701373131e+00 6.984593975188e+00 6.984690908059e+00 6.984604282335e+00 
              2560 6.984984882282e+00 6.984911341119e+00 6.984850232859e+00 6.984872690237e+00 6.984829725872e+00 6.984857321568e+00 6.984816238573e+00 
              2570 6.985176837403e+00 6.985102304724e+00 6.985049182005e+00 6.985060682362e+00 6.985034055196e+00 6.985044614474e+00 6.985015265986e+00 
              2580 6.985364645720e+00 6.985293320491e+00 6.985239242842e+00 6.985254413818e+00 6.985222799987e+00 6.985239509115e+00 6.985206905723e+00 
              2590 6.985547277785e+00 6.985480847143e+00 6.985422155572e+00 6.985446962172e+00 6.985401662041e+00 6.985433971789e+00 6.985391996219e+00 
              2600 6.985723288688e+00 6.985656005177e+00 6.985604731504e+00 6.985619407633e+00 6.985589222634e+00 6.985605792875e+00 6.985574679877e+00 
              2610 6.985895519590e+00 6.985834395322e+00 6.985775648172e+00 6.985804582514e+00 6.985753962542e+00 6.985793450782e+00 6.985748216531e+00 
              2620 6.986061617789e+00 6.985999945283e+00 6.985947805607e+00 6.985967875097e+00 6.985930515015e+00 6.985956261724e+00 6.985920577947e+00 
              2630 6.986223307671e+00 6.986173892879e+00 6.986101173181e+00 6.986156920323e+00 6.986067894456e+00 6.986150498070e+00 6.986078741294e+00 
              2640 6.986379864009e+00 6.986326081102e+00 6.986267901046e+00 6.986301721652e+00 6.986244983282e+00 6.986293133663e+00 6.986244289556e+00 
              2650 6.986530429274e+00 6.986494530735e+00 6.986403631063e+00 6.986492961884e+00 6.986355638748e+00 6.986492064291e+00 6.986386822458e+00 
              2660 6.986677932289e+00 6.986633947268e+00 6.986565316043e+00 6.986619990792e+00 6.986533499313e+00 6.986615290376e+00 6.986545983339e+00 
              2670 6.986818244668e+00 6.986792370178e+00 6.986690343668e+00 6.986801578871e+00 6.986632960694e+00 6.986804673546e+00 6.986677880827e+00 
              2680 6.986956533893e+00 6.986924658237e+00 6.986840328532e+00 6.986924343212e+00 6.986795709353e+00 6.986924565237e+00 6.986826077222e+00 
              2690 6.987088581438e+00 6.987064359129e+00 6.986968655021e+00 6.987073075426e+00 6.986915002699e+00 6.987076472014e+00 6.986957511506e+00 
              2700 6.987218504449e+00 6.987178911815e+00 6.987120626140e+00 6.987165426254e+00 6.987094550360e+00 6.987161813518e+00 6.987104318189e+00 
              2710 6.987341893008e+00 6.987311455344e+00 6.987238467804e+00 6.987309077015e+00 6.987200878104e+00 6.987309310097e+00 6.987225796700e+00 
              2720 6.987462051044e+00 6.987420108147e+00 6.987376163965e+00 6.987400814071e+00 6.987359888126e+00 6.987395756855e+00 6.987359701044e+00 
              2730 6.987577254679e+00 6.987542374190e+00 6.987488028326e+00 6.987531385793e+00 6.987463479125e+00 6.987529255032e+00 6.987474440910e+00 
              2740 6.987688257536e+00 6.987647432481e+00 6.987610174463e+00 6.987627116201e+00 6.987597987422e+00 6.987622163158e+00 6.987594779964e+00 
              2750 6.987795400594e+00 6.987758615584e+00 6.987717226471e+00 6.987742540272e+00 6.987701485317e+00 6.987739183088e+00 6.987703611016e+00 
              2760 6.987898121862e+00 6.987860105457e+00 6.987825670200e+00 6.987841138191e+00 6.987814702363e+00 6.987837050138e+00 6.987811931745e+00 
              2770 6.987997130089e+00 6.987965234436e+00 6.987922114456e+00 6.987953375733e+00 6.987904189536e+00 6.987951809786e+00 6.987910894835e+00 
              2780 6.988092116766e+00 6.988058874379e+00 6.988022824184e+00 6.988044000942e+00 6.988009773404e+00 6.988041659029e+00 6.988011429502e+00 
              2790 6.988183175903e+00 6.988150949151e+00 6.988116892863e+00 6.988136288947e+00 6.988104913860e+00 6.988134218189e+00 6.988106167930e+00 
              2800 6.988270256751e+00 6.988243606311e+00 6.988201803138e+00 6.988235378171e+00 6.988183592585e+00 6.988235597858e+00 6.988193386658e+00 
              2810 6.988351819059e+00 6.988342798794e+00 6.988267554843e+00 6.988357432182e+00 6.988223840139e+00 6.988365271720e+00 6.988265777465e+00 
              2820 6.988432763187e+00 6.988416170123e+00 6.988360978317e+00 6.988419382740e+00 6.988331905683e+00 6.988423706482e+00 6.988356768293e+00 
              2830 6.988506230252e+00 6.988508976299e+00 6.988416555102e+00 6.988537432005e+00 6.988359148140e+00 6.988550132263e+00 6.988419588020e+00 
              2840 6.988580309418e+00 6.988574488207e+00 6.988504121237e+00 6.988590195942e+00 6.988462871598e+00 6.988598946844e+00 6.988504353620e+00 
              2850 6.988648252003e+00 6.988650413642e+00 6.988566833185e+00 6.988675938726e+00 6.988515283443e+00 6.988688054432e+00 6.988570216484e+00 
              2860 6.988714125262e+00 6.988715196843e+00 6.988637638975e+00 6.988738194980e+00 6.988590230152e+00 6.988749671508e+00 6.988640905087e+00 
              2870 6.988777264526e+00 6.988772901145e+00 6.988710552394e+00 6.988787464897e+00 6.988674183932e+00 6.988796385310e+00 6.988712130133e+00 
              2880 6.988837836541e+00 6.988820487150e+00 6.988789326675e+00 6.988816347314e+00 6.988775997004e+00 6.988819382316e+00 6.988786491802e+00 
              2890 6.988892819141e+00 6.988881679296e+00 6.988840858974e+00 6.988884999771e+00 6.988819919279e+00 6.988890626408e+00 6.988840520918e+00 
              2900 6.988945818591e+00 6.988928228945e+00 6.988904575869e+00 6.988921783252e+00 6.988896166279e+00 6.988924416975e+00 6.988902168226e+00 
              2910 6.988994718964e+00 6.988981161430e+00 6.988952370281e+00 6.988979239009e+00 6.988939754972e+00 6.988983507665e+00 6.988951667291e+00 
              2920 6.989040894299e+00 6.989025591271e+00 6.989003863382e+00 6.989020340851e+00 6.988996206679e+00 6.989023698372e+00 6.989002777792e+00 
              2930 6.989083651549e+00 6.989070661623e+00 6.989047331916e+00 6.989067625032e+00 6.989038135259e+00 6.989071863821e+00 6.989047323040e+00 
              2940 6.989123421275e+00 6.989111901850e+00 6.989088703489e+00 6.989109947226e+00 6.989079273320e+00 6.989114698114e+00 6.989089464055e+00 
              2950 6.989160296415e+00 6.989149431905e+00 6.989128046253e+00 6.989147461522e+00 6.989119649764e+00 6.989152366625e+00 6.989129277166e+00 
              2960 6.989193576210e+00 6.989188346616e+00 6.989158139484e+00 6.989193165395e+00 6.989142801165e+00 6.989200423300e+00 6.989161635297e+00 
              2970 6.989221563167e+00 6.989235195448e+00 6.989167953013e+00 6.989264874472e+00 6.989124507812e+00 6.989280317328e+00 6.989178477794e+00 
              2980 6.989251516267e+00 6.989255397367e+00 6.989211966591e+00 6.989270900980e+00 6.989186078298e+00 6.989281916826e+00 6.989219200104e+00 
              2990 6.989277779364e+00 6.989276780040e+00 6.989246738566e+00 6.989284771028e+00 6.989230591337e+00 6.989293509192e+00 6.989252430799e+00 
              3000 6.989297848686e+00 6.989311918116e+00 6.989252756742e+00 6.989339642352e+00 6.989214458749e+00 6.989354896802e+00 6.989264102054e+00 
              3010 6.989316086656e+00 6.989339574079e+00 6.989263266831e+00 6.989379336501e+00 6.989211807457e+00 6.989398614916e+00 6.989278219900e+00 
              3020 6.989333534690e+00 6.989356141623e+00 6.989284568888e+00 6.989393891443e+00 6.989236371648e+00 6.989412661760e+00 6.989299416506e+00 
              3030 6.989349582841e+00 6.989364717658e+00 6.989311875675e+00 6.989391461398e+00 6.989277446398e+00 6.989406822170e+00 6.989324233827e+00 
              3040 6.989364221952e+00 6.989365231917e+00 6.989345220390e+00 6.989371901823e+00 6.989335143127e+00 6.989380928257e+00 6.989352684283e+00 
              3050 6.989372600138e+00 6.989380216898e+00 6.989348876534e+00 6.989395131376e+00 6.989330021514e+00 6.989406952697e+00 6.989358925149e+00 
              3060 6.989378213850e+00 6.989393447760e+00 6.989348572176e+00 6.989418004375e+00 6.989319289551e+00 6.989433066136e+00 6.989361566675e+00 
              3070 6.989384815424e+00 6.989389343521e+00 6.989369891366e+00 6.989398527857e+00 6.989359415522e+00 6.989408769222e+00 6.989379213758e+00 
              3080 6.989387455304e+00 6.989389585744e+00 6.989377823005e+00 6.989394758943e+00 6.989372853054e+00 6.989403838599e+00 6.989386468756e+00 
              3090 6.989386914091e+00 6.989390856143e+00 6.989377795792e+00 6.989397774725e+00 6.989371592252e+00 6.989407545770e+00 6.989387282392e+00 
              3100 6.989384090268e+00 6.989389456966e+00 6.989375878948e+00 6.989397605199e+00 6.989369031289e+00 6.989407899244e+00 6.989386064114e+00 
              3110 6.989379162743e+00 6.989384921857e+00 6.989372982042e+00 6.989392900784e+00 6.989367111887e+00 6.989403265176e+00 6.989383488560e+00 
              3120 6.989370938060e+00 6.989381961404e+00 6.989361253465e+00 6.989396437947e+00 6.989348557930e+00 6.989409016514e+00 6.989373841112e+00 
              3130 6.989361992636e+00 6.989371046686e+00 6.989356921338e+00 6.989382150468e+00 6.989348920977e+00 6.989393764914e+00 6.989368971247e+00 
              3140 6.989348280155e+00 6.989367488657e+00 6.989334098571e+00 6.989391798309e+00 6.989311407829e+00 6.989407777439e+00 6.989349990610e+00 
              3150 6.989335481830e+00 6.989350158940e+00 6.989328737785e+00 6.989367613249e+00 6.989314789590e+00 6.989381505138e+00 6.989343159928e+00 
              3160 6.989316170730e+00 6.989347262789e+00 6.989293149995e+00 6.989386510904e+00 6.989254450082e+00 6.989407518047e+00 6.989313672052e+00 
              3170 6.989296295676e+00 6.989336503603e+00 6.989265209662e+00 6.989387579758e+00 6.989213395723e+00 6.989412492753e+00 6.989289186940e+00 
              3180 6.989276638301e+00 6.989314795883e+00 6.989250076480e+00 6.989362439180e+00 6.989202971211e+00 6.989386360276e+00 6.989273476247e+00 
              3190 6.989256127304e+00 6.989286633542e+00 6.989240393739e+00 6.989323190828e+00 6.989206928700e+00 6.989343662725e+00 6.989261185661e+00 
              3200 6.989230713293e+00 6.989267625312e+00 6.989209867477e+00 6.989312336076e+00 6.989167548649e+00 6.989335529388e+00 6.989233131354e+00 
              3210 6.989207760738e+00 6.989230359707e+00 6.989205202355e+00 6.989254893616e+00 6.989187119408e+00 6.989271721181e+00 6.989223444637e+00 
              3220 6.989178203686e+00 6.989207986908e+00 6.989169590621e+00 6.989241755336e+00 6.989141370460e+00 6.989261648343e+00 6.989190581544e+00 
              3230 6.989151122187e+00 6.989169038847e+00 6.989157951850e+00 6.989185998824e+00 6.989150004675e+00 6.989200605104e+00 6.989174798564e+00 
              3240 6.989120124731e+00 6.989135608735e+00 6.989131696786e+00 6.989148672094e+00 6.989128927245e+00 6.989162130788e+00 6.989147808383e+00 
              3250 6.989086121694e+00 6.989103355384e+00 6.989097689272e+00 6.989118246530e+00 6.989093404191e+00 6.989132392044e+00 6.989114576791e+00 
              3260 6.989049852683e+00 6.989070533297e+00 6.989059467238e+00 6.989089582128e+00 6.989050936282e+00 6.989105159013e+00 6.989077742636e+00 
              3270 6.989013402679e+00 6.989031854596e+00 6.989027434681e+00 6.989047312087e+00 6.989023693876e+00 6.989061835545e+00 6.989045041508e+00 
              3280 6.988973231861e+00 6.988996431764e+00 6.988983777493e+00 6.989017844750e+00 6.988973672438e+00 6.989034371662e+00 6.989003239777e+00 
              3290 6.988933161058e+00 6.988954475132e+00 6.988947680171e+00 6.988972780957e+00 6.988941780985e+00 6.988988407130e+00 6.988966592788e+00 
              3300 6.988888098304e+00 6.988920268396e+00 6.988892161031e+00 6.988952903908e+00 6.988870100804e+00 6.988973208403e+00 6.988915136039e+00 
              3310 6.988845479391e+00 6.988872006405e+00 6.988857710504e+00 6.988896409786e+00 6.988845822674e+00 6.988914170623e+00 6.988878770319e+00 
              3320 6.988795952822e+00 6.988838984512e+00 6.988791267370e+00 6.988885468175e+00 6.988754150462e+00 6.988910378501e+00 6.988818431458e+00 
              3330 6.988750844259e+00 6.988784572051e+00 6.988758414072e+00 6.988817828657e+00 6.988737282773e+00 6.988838598097e+00 6.988782334851e+00 
              3340 6.988698189685e+00 6.988748698109e+00 6.988688469252e+00 6.988804432977e+00 6.988641629656e+00 6.988832468128e+00 6.988718588011e+00 
              3350 6.988649350685e+00 6.988692666083e+00 6.988649446800e+00 6.988738075133e+00 6.988615187711e+00 6.988762895402e+00 6.988677081142e+00 
              3360 6.988595956660e+00 6.988645689584e+00 6.988590433178e+00 6.988699410795e+00 6.988546987681e+00 6.988726966921e+00 6.988620511206e+00 
              3370 6.988546388341e+00 6.988579639524e+00 6.988561133441e+00 6.988610340727e+00 6.988545065908e+00 6.988630628768e+00 6.988585359219e+00 
              3380 6.988489456596e+00 6.988530655346e+00 6.988496803363e+00 6.988571774430e+00 6.988469075631e+00 6.988595468887e+00 6.988524023389e+00 
              3390 6.988436409936e+00 6.988465012553e+00 6.988459566779e+00 6.988488448235e+00 6.988452966369e+00 6.988506577800e+00 6.988482335972e+00 
              3400 6.988376926088e+00 6.988411428307e+00 6.988394954184e+00 6.988442492387e+00 6.988379934370e+00 6.988463135433e+00 6.988419972456e+00 
              3410 6.988319858732e+00 6.988347336823e+00 6.988347338661e+00 6.988368357738e+00 6.988344510261e+00 6.988385873574e+00 6.988369919916e+00 
              3420 6.988258269356e+00 6.988288673121e+00 6.988283936079e+00 6.988313266869e+00 6.988277405782e+00 6.988331999421e+00 6.988307685085e+00 
              3430 6.988197124998e+00 6.988225229258e+00 6.988226853373e+00 6.988246257408e+00 6.988224940148e+00 6.988263928085e+00 6.988249874168e+00 
              3440 6.988132119832e+00 6.988165256237e+00 6.988157605449e+00 6.988192753143e+00 6.988148597461e+00 6.988212560888e+00 6.988182555471e+00 
              3450 6.988068216602e+00 6.988098970168e+00 6.988097814506e+00 6.988122799137e+00 6.988093528222e+00 6.988141510636e+00 6.988122001763e+00 
              3460 6.988002279158e+00 6.988033018370e+00 6.988033289692e+00 6.988056426099e+00 6.988029930536e+00 6.988075074993e+00 6.988057571038e+00 
              3470 6.987933597171e+00 6.987968880595e+00 6.987960843683e+00 6.987998110245e+00 6.987951122495e+00 6.988018684852e+00 6.987986872740e+00 
              3480 6.987860745438e+00 6.987912611194e+00 6.987870580606e+00 6.987964144606e+00 6.987835263899e+00 6.987991888276e+00 6.987902721074e+00 
              3490 6.987793040460e+00 6.987836376710e+00 6.987813858303e+00 6.987875853667e+00 6.987793021067e+00 6.987899827489e+00 6.987843000826e+00 
              3500 6.987717601389e+00 6.987779265386e+00 6.987718984566e+00 6.987843450894e+00 6.987669736613e+00 6.987875348250e+00 6.987754867070e+00 
              3510 6.987647530339e+00 6.987699700584e+00 6.987660949556e+00 6.987750518943e+00 6.987627695675e+00 6.987778229459e+00 6.987693479970e+00 
              3520 6.987572440886e+00 6.987631644430e+00 6.987579164303e+00 6.987691724922e+00 6.987535503950e+00 6.987722442620e+00 6.987614337469e+00 
              3530 6.987498337627e+00 6.987555536842e+00 6.987508573074e+00 6.987612515523e+00 6.987468919357e+00 6.987642309571e+00 6.987543110068e+00 
              3540 6.987424156902e+00 6.987475030102e+00 6.987442778089e+00 6.987522997096e+00 6.987414016555e+00 6.987549988230e+00 6.987475106601e+00 
              3550 6.987351278988e+00 6.987388308278e+00 6.987386762777e+00 6.987416986998e+00 6.987380867783e+00 6.987437909631e+00 6.987414153299e+00 
              3560 6.987271660300e+00 6.987314007947e+00 6.987302315754e+00 6.987349620508e+00 6.987288705326e+00 6.987372807366e+00 6.987331721339e+00 
              3570 6.987195175920e+00 6.987230230140e+00 6.987235239288e+00 6.987255531113e+00 6.987234012637e+00 6.987275501646e+00 6.987262079941e+00 
              3580 6.987113848404e+00 6.987152074870e+00 6.987151474797e+00 6.987181383480e+00 6.987145933201e+00 6.987202686473e+00 6.987179548771e+00 
